"mother_tongue_code","mother_tongue","canonical_language","national_speakers","n_districts","match_term","term_source","language_glottocode","glottolog_name","family_id","countries","iso639P3code","alias_basis","provider","is_india_language","candidate_count","candidate_status","review_status","reviewed_glottocode"
"006116","Harauti","Hindi",2462867,57,"Harauti","mother_tongue","hado1235","Hadothi","indo1319","IN","hoj","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","hado1235"
"009010","Konkani","Konkani",2420140,367,"Konkani","mother_tongue","goan1235","Goan Konkani","indo1319","IN","gom","alternate_name","lexvo",TRUE,2,"exact_ambiguous","accepted_manual","goan1235"
"009010","Konkani","Konkani",2420140,367,"Konkani","mother_tongue","konk1267","Konkan Marathi","indo1319","IN","knn","alternate_name","lexvo",TRUE,2,"exact_ambiguous","accepted_manual","goan1235"
"004001","Dogri","Dogri",2282547,365,"Dogri","mother_tongue","dogr1250","Dogri","indo1319","IN;PK","dgo","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","dogr1250"
"006095","Garhwali","Hindi",2267314,406,"Garhwali","mother_tongue","garh1243","Garhwali","indo1319","CN;IN","gbm","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","garh1243"
"006210","Nimadi","Hindi",2148146,107,"Nimadi","mother_tongue","nima1243","Nimadi","indo1319","IN","noe","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","nima1243"
"006251","Sadan/Sadri","Hindi",2044776,327,"Sadri","mother_tongue_component","sadr1248","Sadri","indo1319","BD;IN","sck","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","sadr1248"
"006162","Kumauni","Hindi",2003783,330,"Kumauni","mother_tongue","kuma1273","Kumaoni","indo1319","IN;NP","kfy","alternate_name","moseley & asher (1994)",TRUE,1,"exact_unique","unresolved",""
"006084","Dhundhari","Hindi",1871130,40,"Hindi","canonical_language","hind1269","Hindi","indo1319","BD;BT;IN;NP","hin","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"053002","Ahirani","Khandeshi",1865813,54,"Ahirani","mother_tongue","khan1272","Khandesi","indo1319","IN","khn","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"072009","Kurukh/Oraon","Kurukh/Oraon",1737044,377,"Kurukh","mother_tongue_component","kuru1301","Kurukh","drav1251","IN","kru","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","kuru1301"
"116009","Tulu","Tulu",1720422,181,"Tulu","mother_tongue","tulu1258","Tulu","drav1251","IN","tcy","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","tulu1258"
"019013","Sindhi","Sindhi",1694061,444,"Sindhi","mother_tongue","sind1272","Sindhi","indo1319","IN;PK","snd","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","sind1272"
"012002","Manipuri","Manipuri",1466497,363,"Manipuri","mother_tongue","mani1292","Manipuri","sino1245","BD;IN;MM","mni","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mani1292"
"006264","Surgujia","Hindi",1458533,78,"Surgujia","mother_tongue","chha1249","Chhattisgarhi","indo1319","IN","hne","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","chha1249"
"006017","Bagri Rajasthani","Hindi",1434123,53,"Hindi","canonical_language","hind1269","Hindi","indo1319","BD;BT;IN;NP","hin","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"003001","Bodo","Bodo",1330775,223,"Bodo","mother_tongue","bodo1267","Bodo Gadaba","aust1305","IN","gbj","alternate_name","elcat",TRUE,6,"exact_ambiguous","accepted_manual","bodo1269"
"003001","Bodo","Bodo",1330775,223,"Bodo","mother_tongue","bodo1269","Bodo-Mech","sino1245","IN;NP","brx","alternate_name","lexvo",TRUE,6,"exact_ambiguous","accepted_manual","bodo1269"
"003001","Bodo","Bodo",1330775,223,"Bodo","mother_tongue","bodo1272","Bodo (Central African Republic)","atla1278","CF","boy","alternate_name","elcat",FALSE,6,"exact_ambiguous","accepted_manual","bodo1269"
