"source_unit_id","target_set_reference","n_targets_reference","target_set_candidate","n_targets_candidate","source_status"
"census1991__05__25","census2001__10__21",1,"census2001__10__21",1,"exact_target_set_agreement"
"census1991__05__26","census2001__10__24|census2001__10__25|census2001__10__26|census2001__10__37",4,"census2001__10__24|census2001__10__25|census2001__10__26|census2001__10__37",4,"exact_target_set_agreement"
"census1991__05__32","census2001__20__12|census2001__20__13",2,"census2001__20__12|census2001__20__13",2,"exact_target_set_agreement"
"census1991__05__33","census2001__20__06|census2001__20__13",2,"census2001__20__06|census2001__20__13",2,"exact_target_set_agreement"
"census1991__07__03","census2001__24__08",1,"census2001__24__08",1,"exact_target_set_agreement"
"census1991__07__04","census2001__24__13|census2001__24__14",2,"census2001__24__13|census2001__24__14",2,"exact_target_set_agreement"
"census1991__07__05","census2001__24__12|census2001__24__13|census2001__24__20|census2001__24__25",4,"census2001__24__12|census2001__24__13",2,"target_set_conflict"
"census1991__07__06","census2001__24__11|census2001__24__12",2,"census2001__24__11|census2001__24__12",2,"exact_target_set_agreement"
"census1991__07__11","census2001__24__06",1,"census2001__24__06",1,"exact_target_set_agreement"
"census1991__07__13","census2001__24__06|census2001__24__15|census2001__24__16",3,"census2001__24__06|census2001__24__15|census2001__24__16",3,"exact_target_set_agreement"
"census1991__07__15","census2001__24__19|census2001__24__20",2,"census2001__24__19|census2001__24__20",2,"exact_target_set_agreement"
"census1991__07__16","census2001__24__13|census2001__24__20|census2001__24__21",3,"census2001__24__20|census2001__24__21",2,"target_set_conflict"
"census1991__08__01","census2001__06__01|census2001__06__02",2,"census2001__06__01|census2001__06__02",2,"exact_target_set_agreement"
"census1991__08__03","census2001__06__04|census2001__06__05",2,"census2001__06__04|census2001__06__05",2,"exact_target_set_agreement"
"census1991__08__04","census2001__06__04|census2001__06__05|census2001__06__06|census2001__06__09",4,"census2001__06__04|census2001__06__05|census2001__06__06|census2001__06__09",4,"exact_target_set_agreement"
"census1991__08__05","census2001__06__04|census2001__06__06|census2001__06__07",3,"census2001__06__04|census2001__06__06|census2001__06__07",3,"exact_target_set_agreement"
"census1991__08__06","census2001__06__06|census2001__06__07",2,"census2001__06__06|census2001__06__07",2,"exact_target_set_agreement"
"census1991__08__07","census2001__06__08",1,"census2001__06__08",1,"exact_target_set_agreement"
"census1991__08__08","census2001__06__08|census2001__06__09|census2001__06__12|census2001__06__13|census2001__06__14|census2001__06__15",6,"census2001__06__08|census2001__06__09|census2001__06__12|census2001__06__13|census2001__06__14|census2001__06__15",6,"exact_target_set_agreement"
"census1991__08__09","census2001__06__19",1,"census2001__06__19",1,"exact_target_set_agreement"
"census1991__08__10","census2001__06__18",1,"census2001__06__18",1,"exact_target_set_agreement"
"census1991__08__11","census2001__06__15|census2001__06__17",2,"census2001__06__15|census2001__06__17",2,"exact_target_set_agreement"
"census1991__08__12","census2001__06__16",1,"census2001__06__16",1,"exact_target_set_agreement"
"census1991__08__14","census2001__06__05|census2001__06__06|census2001__06__09",3,"census2001__06__05|census2001__06__06|census2001__06__09",3,"exact_target_set_agreement"
"census1991__08__15","census2001__06__10|census2001__06__12",2,"census2001__06__10|census2001__06__12",2,"exact_target_set_agreement"
"census1991__08__16","census2001__06__11",1,"census2001__06__11",1,"exact_target_set_agreement"
"census1991__09__01","census2001__02__01",1,"census2001__02__01",1,"exact_target_set_agreement"
"census1991__09__02","census2001__02__02",1,"census2001__02__02",1,"exact_target_set_agreement"
"census1991__09__04","census2001__02__07",1,"census2001__02__07",1,"exact_target_set_agreement"
"census1991__09__09","census2001__02__11",1,"census2001__02__11",1,"exact_target_set_agreement"
"census1991__09__10","census2001__02__09",1,"census2001__02__09",1,"exact_target_set_agreement"
"census1991__11__03","census2001__29__01",1,"census2001__29__01",1,"exact_target_set_agreement"
"census1991__11__04","census2001__29__12|census2001__29__14",2,"census2001__29__12|census2001__29__14",2,"exact_target_set_agreement"
"census1991__11__08","census2001__29__13|census2001__29__14",2,"census2001__29__13|census2001__29__14",2,"exact_target_set_agreement"
"census1991__11__10","census2001__29__08|census2001__29__09|census2001__29__11",3,"census2001__29__08|census2001__29__09|census2001__29__11",3,"exact_target_set_agreement"
"census1991__11__17","census2001__29__06|census2001__29__07",2,"census2001__29__06|census2001__29__07",2,"exact_target_set_agreement"
"census1991__11__18","census2001__29__14|census2001__29__15",2,"census2001__29__14|census2001__29__15",2,"exact_target_set_agreement"
"census1991__11__20","census2001__29__10",1,"census2001__29__10",1,"exact_target_set_agreement"
"census1991__12__02","census2001__32__02",1,"census2001__32__02",1,"exact_target_set_agreement"
"census1991__12__03","census2001__32__03",1,"census2001__32__03",1,"exact_target_set_agreement"
"census1991__12__04","census2001__32__04",1,"census2001__32__04",1,"exact_target_set_agreement"
"census1991__12__06","census2001__32__06",1,"census2001__32__06",1,"exact_target_set_agreement"
"census1991__12__08","census2001__32__08",1,"census2001__32__08",1,"exact_target_set_agreement"
"census1991__12__09","census2001__32__08|census2001__32__09",2,"census2001__32__08|census2001__32__09",2,"exact_target_set_agreement"
"census1991__12__10","census2001__32__10",1,"census2001__32__10",1,"exact_target_set_agreement"
"census1991__12__12","census2001__32__12",1,"census2001__32__12",1,"exact_target_set_agreement"
"census1991__12__13","census2001__32__13",1,"census2001__32__13",1,"exact_target_set_agreement"
"census1991__13__03","census2001__23__04|census2001__23__05",2,"census2001__23__04|census2001__23__05",2,"exact_target_set_agreement"
"census1991__13__04","census2001__23__05",1,"census2001__23__05",1,"exact_target_set_agreement"
"census1991__13__28","census2001__23__32",1,"census2001__23__32",1,"exact_target_set_agreement"
"census1991__13__29","census2001__23__33",1,"census2001__23__33",1,"exact_target_set_agreement"
"census1991__13__32","census2001__23__36|census2001__23__37",2,"census2001__23__36|census2001__23__37",2,"exact_target_set_agreement"
"census1991__13__43","census2001__22__10",1,"census2001__22__10",1,"exact_target_set_agreement"
"census1991__14__04","census2001__27__32",1,"census2001__27__32",1,"exact_target_set_agreement"
"census1991__14__05","census2001__27__33",1,"census2001__27__33",1,"exact_target_set_agreement"
"census1991__14__12","census2001__27__35",1,"census2001__27__35",1,"exact_target_set_agreement"
"census1991__14__13","census2001__27__30",1,"census2001__27__30",1,"exact_target_set_agreement"
"census1991__14__14","census2001__27__34",1,"census2001__27__34",1,"exact_target_set_agreement"
"census1991__14__16","census2001__27__18",1,"census2001__27__18",1,"exact_target_set_agreement"
"census1991__14__17","census2001__27__16|census2001__27__17",2,"census2001__27__16|census2001__27__17",2,"exact_target_set_agreement"
"census1991__14__18","census2001__27__27",1,"census2001__27__27",1,"exact_target_set_agreement"
"census1991__14__20","census2001__27__29",1,"census2001__27__29",1,"exact_target_set_agreement"
"census1991__14__21","census2001__27__28",1,"census2001__27__28",1,"exact_target_set_agreement"
"census1991__14__27","census2001__27__09",1,"census2001__27__09",1,"exact_target_set_agreement"
"census1991__14__28","census2001__27__10|census2001__27__11",2,"census2001__27__10|census2001__27__11",2,"exact_target_set_agreement"
