"state_code_1991","district_code_1991","state_code_2001","district_code_2001","n_shrid_mapped","population_1991_mapped","area_1991_mapped","n_shrid_total","population_1991_total","area_1991_total","population_share_to_2001","area_share_to_2001","n_target_2001_districts","shrid_coverage","mapping_class"
"05","14","10","03",189,376953,433.94799964,990,2391495,2597.156353,0.157622324111069,0.167085820281379,2,0.996969696969697,"non_nested_or_incomplete"
"05","15","10","14",1708,2952252,3124.11918671501,1709,2952666,3125.20318671501,0.999859787730817,0.999653142552584,1,0.999414862492686,"non_nested_or_incomplete"
"05","16","10","18",1390,2142119,1867.546422394,1403,2144719,1904.218864804,0.99878771997637,0.980741477207361,1,0.990734141126158,"non_nested_or_incomplete"
"05","17","10","20",634,1706810,1684.735070234,654,1717944,1706.066770264,0.993518997126798,0.98749656203274,2,0.970948012232416,"non_nested_or_incomplete"
"05","17","10","24",1,977,NA,654,1717944,1706.066770264,0.000568703054348687,NA,2,0.970948012232416,"non_nested_or_incomplete"
"05","18","10","19",1102,2715656,2578.82374198301,1109,2716929,2585.25764193901,0.999531456287595,0.997511311889528,1,0.993688007213706,"non_nested_or_incomplete"
"05","19","10","13",1042,2508173,2443.37072010801,1044,2508271,2444.05462010801,0.999960929261631,0.99972017810307,1,0.99808429118774,"non_nested_or_incomplete"
"05","20","10","05",1028,2828883,3454.58659070402,1032,2829466,3458.44319060402,0.999793954053521,0.998884874006178,1,0.996124031007752,"non_nested_or_incomplete"
"05","21","10","06",518,1314744,2354.81220224,960,2459954,4018.59823528401,0.534458774432367,0.585978509014494,2,0.994791666666667,"non_nested_or_incomplete"
"05","21","10","12",437,1132202,1637.469733064,960,2459954,4018.59823528401,0.460253321810083,0.407472864215866,2,0.994791666666667,"non_nested_or_incomplete"
"05","22","10","11",371,1177706,1779.180943253,371,1177706,1779.180943253,1,1,1,1,"deterministic_containment"
"05","23","10","09",1059,1874045,3124.26285203301,1076,1878146,3133.07075195901,0.997816463682802,0.997188732517294,1,0.984200743494424,"non_nested_or_incomplete"
"05","24","10","10",1206,1785666,2769.81853071201,1218,1825380,2843.57523471201,0.978243434243829,0.974061982570519,1,0.990147783251232,"non_nested_or_incomplete"
"05","25","10","21",239,985936,1347.82561915,243,987227,1361.40671915,0.998692296705823,0.990024215534591,1,0.983539094650206,"non_nested_or_incomplete"
"05","26","10","37",1280,1050971,2860.900612409,2402,3057691,5772.63860390603,0.343713933160676,0.495596694806632,4,0.993338884263114,"non_nested_or_incomplete"
"05","26","10","24",504,938634,1101.616271802,2402,3057691,5772.63860390603,0.306974772794242,0.190834096396853,4,0.993338884263114,"non_nested_or_incomplete"
"05","26","10","25",346,644049,1115.614626375,2402,3057691,5772.63860390603,0.210632467440301,0.193259045459753,4,0.993338884263114,"non_nested_or_incomplete"
"05","26","10","26",256,418522,660.70074986,2402,3057691,5772.63860390603,0.136875178034667,0.114453856406833,4,0.993338884263114,"non_nested_or_incomplete"
"05","27","10","22",890,1882274,2223.780841244,2522,3185219,5077.86285194904,0.590940214785859,0.437936373250105,2,0.99167327517843,"non_nested_or_incomplete"
"05","27","10","23",1611,1291694,2807.68254872501,2522,3185219,5077.86285194904,0.405527532015852,0.552926030219059,2,0.99167327517843,"non_nested_or_incomplete"
"05","28","20","08",1581,860547,2072.097148041,1600,861182,2080.747565711,0.999262641346429,0.995842639533718,1,0.988125,"non_nested_or_incomplete"
"05","29","20","09",1242,706163,1726.604551037,2395,1284223,3547.283146138,0.549875683584549,0.486739986605464,2,0.98455114822547,"non_nested_or_incomplete"
"05","29","20","10",1116,564195,1755.265495231,2395,1284223,3547.283146138,0.439327904888793,0.494819675486574,2,0.98455114822547,"non_nested_or_incomplete"
"05","30","20","11",3707,1495510,5374.573959419,3716,1495709,5381.800259449,0.999866952729441,0.998657270860747,1,0.997578040904198,"non_nested_or_incomplete"
"05","31","20","07",2315,932513,2363.284759232,2330,933113,2368.287669392,0.999356991061104,0.997887541186547,1,0.993562231759657,"non_nested_or_incomplete"
"05","32","20","12",1154,1916054,2009.445955953,1408,2662902,2952.863656138,0.719536055025683,0.680507530977952,2,0.995028409090909,"non_nested_or_incomplete"
"05","32","20","13",247,719884,933.34940017,1408,2662902,2952.863656138,0.270338149883097,0.316082795841211,2,0.995028409090909,"non_nested_or_incomplete"
"05","33","20","06",2483,1496041,4585.379106508,2873,2207718,6438.50971315801,0.677641347309756,0.712180195540767,2,0.9951270449008,"non_nested_or_incomplete"
"05","33","20","13",376,711508,1837.88820636,2873,2207718,6438.50971315801,0.322282103058452,0.285452424278248,2,0.9951270449008,"non_nested_or_incomplete"
"05","34","20","04",1533,1829318,5687.833518526,3363,2836894,10500.088745041,0.644831283791358,0.541693851988847,3,0.995242343146001,"non_nested_or_incomplete"
"05","34","20","03",1296,611996,3523.919945847,3363,2836894,10500.088745041,0.215727482239379,0.335608586880876,3,0.995242343146001,"non_nested_or_incomplete"
