"state_code_2001","district_code_2001","leverage","cooks_distance","studentized_residual","instrument_dfbeta"
"03","04",0.0777638082813277,5.65707540571197e-08,-0.00572811276081073,-2.11461510246482e-05
"03","06",0.106064934485561,0.00294865749643846,1.10374233579778,0.0066109747212252
"03","07",0.0770652774262233,0.000446521473711498,0.511527690540193,-0.00583419380566565
"03","08",0.0734968888377014,0.000410496989027711,-0.503190339161371,-0.000773897366901484
"03","09",0.0787713352854044,0.00663165942871746,-1.95467500512308,0.0120622015374567
"03","10",0.0679094596893289,0.00227602008013667,-1.23785697444195,-0.00788915849806641
"03","11",0.0810329644718862,0.000163887814867481,0.301518122164511,-0.00090035755269293
"03","12",0.076437247911517,0.00104376063612467,0.785815545489168,0.00232910929217666
"03","13",0.0756691827339846,0.00233099859180485,1.18164603188593,0.004351424871838
"03","14",0.0675756494043717,0.000600762289283737,-0.636963653169924,0.00099201711019306
"03","15",0.0771736141586443,6.309299493111e-05,0.192094404676118,0.00105332300210786
"03","16",0.0704506191205128,0.00131851446420122,-0.923151673832633,-0.00370096872348226
"03","17",0.0691257065268107,4.67976235023094e-05,0.175563271279861,-0.00101767025584042
"04","01",1,NA,NA,0
"05","01",0.0997283357026278,0.00280281926302378,-1.11371141732875,-0.0351267466694106
"05","02",0.104154001030705,0.000284977805506595,-0.346271890584486,-0.0238275759860413
"05","03",0.0946553609895168,0.000954976128983592,0.668650863953316,0.0021414407710548
"05","04",0.091349612768245,0.00254790009265356,1.11464026548567,0.0157819272858018
"05","05",0.126020848418863,0.0217075047918984,2.73272668447336,-0.122728181470583
"05","06",0.0974459259978963,6.06158421543464e-05,0.165707622069554,-0.00658538776170519
"05","07",0.0920028082884927,2.7248903389877e-05,0.114684553219921,0.00396170121375975
"05","08",0.0977546284804188,0.000879815821909612,-0.630431268764239,-0.00492033685532299
"05","09",0.0957542845106687,0.000522101626256454,-0.491162300504576,-0.00670650224394398
"05","10",0.101074984879773,2.10154091343611e-05,-0.0956083562027781,0.00146446467670921
"05","11",0.099773196462898,0.00868708161873195,-1.9651091128933,0.0976264142367899
"05","13",0.138811225386337,4.10535111074353e-05,-0.111609317399589,0.0027790991862536
"06","01",0.0839677090139654,0.00200758676000828,1.03601208965171,-0.00801499670688373
"06","02",0.0713631246181425,0.000450263458686161,-0.535453343330035,0.000254519908297143
"06","03",0.0697101560457084,0.00138663564124889,0.952141757926984,0.00166150240352532
"06","04",0.0621276927205645,0.000118737798319516,-0.296103390779259,0.00393728381143262
"06","05",0.0665843627795613,1.71706745902847e-06,0.0343106401364095,3.9769105696863e-06
"06","06",0.0598585972581643,0.000212949432233643,0.404503916699871,-0.00352691480436775
"06","07",0.0607851189130678,0.000565205876443525,-0.653804385659028,-1.37433650097799e-05
"06","08",0.0596268732919032,0.0183483142865731,3.8138820974631,0.0271046604594203
"06","09",0.059916069717998,2.29338019610947e-05,-0.132660073157315,0.00013516995688624
"06","10",0.0650769090216248,0.000144529001596936,-0.318696572797409,0.00068200120598841
"06","11",0.0664890079456035,4.50938894133144e-05,0.175970446742989,-0.0020305687084216
"06","12",0.0575249506079809,6.46814349873964e-05,-0.227667682823658,-0.00121419940917065
"06","13",0.0620234564141341,0.000528037953071807,-0.62516697617548,-0.000110217130324507
"06","14",0.0599852254738605,8.85357455085131e-05,-0.260504921061617,0.00277979915306232
"06","15",0.0641293237996806,1.21244846137883e-06,-0.0294167597202036,-0.000951251799832183
"06","16",0.0635550114816204,0.000937104418228083,-0.82228813581305,0.00665619713329119
"06","17",0.0629435241333781,0.000764177612513358,-0.746309351368962,-0.00156007280417531
"06","18",0.105613352879359,0.000827029090743879,-0.585449088471698,0.0105979602497357
"06","19",0.07813068711873,0.0022776704713822,-1.14788646653928,-0.0373266085503163
