"mother_tongue_code","mother_tongue","asjp_list_name","anchor","shastry_degree","mean_ldnd","n_list_pairs","min_shared_meanings"
"006064","Chambeali","CHAMBEALI","Bengali",3,NA,0,NA
"006064","Chambeali","CHAMBEALI","Assamese",3,NA,0,NA
"006064","Chambeali","CHAMBEALI","Oriya",3,NA,0,NA
"006064","Chambeali","CHAMBEALI","Kashmiri",4,NA,0,NA
"006064","Chambeali","CHAMBEALI","Sindhi",4,NA,0,NA
"006064","Chambeali","CHAMBEALI","Sinhalese",4,NA,0,NA
"006074","Churahi","CHURAHI","Hindi",0,NA,0,NA
"006074","Churahi","CHURAHI","Punjabi",1,NA,0,NA
"006074","Churahi","CHURAHI","Rajasthani",1,NA,0,NA
"006074","Churahi","CHURAHI","Gujarati",1,NA,0,NA
"006074","Churahi","CHURAHI","Marathi",2,NA,0,NA
"006074","Churahi","CHURAHI","Bengali",3,NA,0,NA
"006074","Churahi","CHURAHI","Assamese",3,NA,0,NA
"006074","Churahi","CHURAHI","Oriya",3,NA,0,NA
"006074","Churahi","CHURAHI","Kashmiri",4,NA,0,NA
"006074","Churahi","CHURAHI","Sindhi",4,NA,0,NA
"006074","Churahi","CHURAHI","Sinhalese",4,NA,0,NA
"006084","Dhundhari","DHUNDARI","Hindi",0,0.575328611799645,2,36
"006084","Dhundhari","DHUNDARI","Punjabi",1,0.553899684382408,1,37
"006084","Dhundhari","DHUNDARI","Rajasthani",1,NA,0,NA
"006084","Dhundhari","DHUNDARI","Gujarati",1,0.602573962912238,1,37
"006084","Dhundhari","DHUNDARI","Marathi",2,0.601726257706071,2,33
"006084","Dhundhari","DHUNDARI","Bengali",3,0.656042217579193,2,37
"006084","Dhundhari","DHUNDARI","Assamese",3,0.651155399852518,1,36
"006084","Dhundhari","DHUNDARI","Oriya",3,NA,0,NA
"006084","Dhundhari","DHUNDARI","Kashmiri",4,0.843282835114297,1,37
"006084","Dhundhari","DHUNDARI","Sindhi",4,0.664666637502772,1,35
"006084","Dhundhari","DHUNDARI","Sinhalese",4,0.802425460545525,1,29
"006095","Garhwali","GARHWALI","Hindi",0,0.56960923317863,2,37
"006095","Garhwali","GARHWALI","Punjabi",1,0.563685323897579,1,38
"006095","Garhwali","GARHWALI","Rajasthani",1,NA,0,NA
"006095","Garhwali","GARHWALI","Gujarati",1,0.656197270775359,1,38
"006095","Garhwali","GARHWALI","Marathi",2,0.66865478251287,2,34
"006095","Garhwali","GARHWALI","Bengali",3,0.604963370090809,2,38
"006095","Garhwali","GARHWALI","Assamese",3,0.615367643842234,1,36
"006095","Garhwali","GARHWALI","Oriya",3,NA,0,NA
"006095","Garhwali","GARHWALI","Kashmiri",4,0.835396980386321,1,38
"006095","Garhwali","GARHWALI","Sindhi",4,0.651229170539677,1,37
"006095","Garhwali","GARHWALI","Sinhalese",4,0.830050627234856,1,29
"006127","Jaunsari","JAUNSARI","Hindi",0,NA,0,NA
"006127","Jaunsari","JAUNSARI","Punjabi",1,NA,0,NA
"006127","Jaunsari","JAUNSARI","Rajasthani",1,NA,0,NA
"006127","Jaunsari","JAUNSARI","Gujarati",1,NA,0,NA
"006127","Jaunsari","JAUNSARI","Marathi",2,NA,0,NA
"006127","Jaunsari","JAUNSARI","Bengali",3,NA,0,NA
"006127","Jaunsari","JAUNSARI","Assamese",3,NA,0,NA
"006127","Jaunsari","JAUNSARI","Oriya",3,NA,0,NA
"006127","Jaunsari","JAUNSARI","Kashmiri",4,NA,0,NA
"006127","Jaunsari","JAUNSARI","Sindhi",4,NA,0,NA
"006127","Jaunsari","JAUNSARI","Sinhalese",4,NA,0,NA
"006162","Kumauni","KUMAUNI","Hindi",0,0.599127725723211,2,38
"006162","Kumauni","KUMAUNI","Punjabi",1,0.604599664770246,1,39
"006162","Kumauni","KUMAUNI","Rajasthani",1,NA,0,NA
"006162","Kumauni","KUMAUNI","Gujarati",1,0.644467903169294,1,39
"006162","Kumauni","KUMAUNI","Marathi",2,0.648924345760492,2,34
"006162","Kumauni","KUMAUNI","Bengali",3,0.613767310551529,2,39
"006162","Kumauni","KUMAUNI","Assamese",3,0.608734708975138,1,36
"006162","Kumauni","KUMAUNI","Oriya",3,NA,0,NA
"006162","Kumauni","KUMAUNI","Kashmiri",4,0.871082309619974,1,39
"006162","Kumauni","KUMAUNI","Sindhi",4,0.694125713976889,1,38
"006162","Kumauni","KUMAUNI","Sinhalese",4,0.859583381822414,1,29
"006188","Mandeali","MANDEALI","Hindi",0,NA,0,NA
"006188","Mandeali","MANDEALI","Punjabi",1,NA,0,NA
"006188","Mandeali","MANDEALI","Rajasthani",1,NA,0,NA
"006188","Mandeali","MANDEALI","Gujarati",1,NA,0,NA
"006188","Mandeali","MANDEALI","Marathi",2,NA,0,NA
"006188","Mandeali","MANDEALI","Bengali",3,NA,0,NA
"006188","Mandeali","MANDEALI","Assamese",3,NA,0,NA
"006188","Mandeali","MANDEALI","Oriya",3,NA,0,NA
"006188","Mandeali","MANDEALI","Kashmiri",4,NA,0,NA
"006188","Mandeali","MANDEALI","Sindhi",4,NA,0,NA
"006188","Mandeali","MANDEALI","Sinhalese",4,NA,0,NA
"006210","Nimadi","NIMADI","Hindi",0,0.627596090265132,2,31
"006210","Nimadi","NIMADI","Punjabi",1,0.659393303750831,1,32
"006210","Nimadi","NIMADI","Rajasthani",1,NA,0,NA
"006210","Nimadi","NIMADI","Gujarati",1,0.690396271676245,1,32
"006210","Nimadi","NIMADI","Marathi",2,0.668302522612407,2,30
"006210","Nimadi","NIMADI","Bengali",3,0.752713555554928,2,32
"006210","Nimadi","NIMADI","Assamese",3,0.701577425754696,1,31
"006210","Nimadi","NIMADI","Oriya",3,NA,0,NA
"006210","Nimadi","NIMADI","Kashmiri",4,0.892395116588451,1,32
"006210","Nimadi","NIMADI","Sindhi",4,0.678135367896319,1,32
"006210","Nimadi","NIMADI","Sinhalese",4,0.877434078248972,1,27
"006227","Pangwali","PANGWALI","Hindi",0,NA,0,NA
"006227","Pangwali","PANGWALI","Punjabi",1,NA,0,NA
"006227","Pangwali","PANGWALI","Rajasthani",1,NA,0,NA
"006227","Pangwali","PANGWALI","Gujarati",1,NA,0,NA
"006227","Pangwali","PANGWALI","Marathi",2,NA,0,NA
"006227","Pangwali","PANGWALI","Bengali",3,NA,0,NA
"006227","Pangwali","PANGWALI","Assamese",3,NA,0,NA
"006227","Pangwali","PANGWALI","Oriya",3,NA,0,NA
"006227","Pangwali","PANGWALI","Kashmiri",4,NA,0,NA
"006227","Pangwali","PANGWALI","Sindhi",4,NA,0,NA
"006227","Pangwali","PANGWALI","Sinhalese",4,NA,0,NA
"014009","Nepali","NEPALI","Hindi",0,0.613989289510077,2,35
"014009","Nepali","NEPALI","Punjabi",1,0.624323773193389,1,36
"014009","Nepali","NEPALI","Rajasthani",1,NA,0,NA
"014009","Nepali","NEPALI","Gujarati",1,0.740320655773372,1,36
"014009","Nepali","NEPALI","Marathi",2,0.660912002944609,2,30
"014009","Nepali","NEPALI","Bengali",3,0.698625077589135,2,36
"014009","Nepali","NEPALI","Assamese",3,0.667714931367735,1,34
"014009","Nepali","NEPALI","Oriya",3,NA,0,NA
"014009","Nepali","NEPALI","Kashmiri",4,0.864253380121338,1,36
"014009","Nepali","NEPALI","Sindhi",4,0.692700640692986,1,34
"014009","Nepali","NEPALI","Sinhalese",4,0.868978160601784,1,25
"030006","Bhilali","BHILALI","Hindi",0,0.716484420305798,2,32
"030006","Bhilali","BHILALI","Punjabi",1,0.739252931741534,1,33
"030006","Bhilali","BHILALI","Rajasthani",1,NA,0,NA
"030006","Bhilali","BHILALI","Gujarati",1,0.691487236703587,1,33
"030006","Bhilali","BHILALI","Marathi",2,0.67450475653793,2,30
"030006","Bhilali","BHILALI","Bengali",3,0.742193592571142,2,33
"030006","Bhilali","BHILALI","Assamese",3,0.702251129540922,1,31
"030006","Bhilali","BHILALI","Oriya",3,NA,0,NA
"030006","Bhilali","BHILALI","Kashmiri",4,0.911996674631693,1,33
"030006","Bhilali","BHILALI","Sindhi",4,0.764719359364733,1,33
"030006","Bhilali","BHILALI","Sinhalese",4,0.854290220595057,1,27
"030007","Bhili/Bhilodi","BHILI","Hindi",0,0.722006470747478,2,30
"030007","Bhili/Bhilodi","BHILI","Punjabi",1,0.763187848748406,1,31
"030007","Bhili/Bhilodi","BHILI","Rajasthani",1,NA,0,NA
"030007","Bhili/Bhilodi","BHILI","Gujarati",1,0.642528675494346,1,31
"030007","Bhili/Bhilodi","BHILI","Marathi",2,0.681377137838507,2,29
"030007","Bhili/Bhilodi","BHILI","Bengali",3,0.748023347947282,2,31
"030007","Bhili/Bhilodi","BHILI","Assamese",3,0.725732886278211,1,30
"030007","Bhili/Bhilodi","BHILI","Oriya",3,NA,0,NA
"030007","Bhili/Bhilodi","BHILI","Kashmiri",4,0.904754854593215,1,31
"030007","Bhili/Bhilodi","BHILI","Sindhi",4,0.755496378266735,1,31
"030007","Bhili/Bhilodi","BHILI","Sinhalese",4,0.850567644184343,1,26
"030055","Wagdi","WAGDI","Hindi",0,NA,0,NA
"030055","Wagdi","WAGDI","Punjabi",1,NA,0,NA
"030055","Wagdi","WAGDI","Rajasthani",1,NA,0,NA
"030055","Wagdi","WAGDI","Gujarati",1,NA,0,NA
"030055","Wagdi","WAGDI","Marathi",2,NA,0,NA
"030055","Wagdi","WAGDI","Bengali",3,NA,0,NA
"030055","Wagdi","WAGDI","Assamese",3,NA,0,NA
"030055","Wagdi","WAGDI","Oriya",3,NA,0,NA
"030055","Wagdi","WAGDI","Kashmiri",4,NA,0,NA
"030055","Wagdi","WAGDI","Sindhi",4,NA,0,NA
"030055","Wagdi","WAGDI","Sinhalese",4,NA,0,NA
"045001","Halabi","HALABI","Hindi",0,0.614842145579167,2,34
"045001","Halabi","HALABI","Punjabi",1,0.661003127389747,1,35
"045001","Halabi","HALABI","Rajasthani",1,NA,0,NA
"045001","Halabi","HALABI","Gujarati",1,0.634949502202337,1,35
"045001","Halabi","HALABI","Marathi",2,0.592053957846655,2,31
"045001","Halabi","HALABI","Bengali",3,0.615747010909666,2,35
"045001","Halabi","HALABI","Assamese",3,0.51710531668226,1,33
"045001","Halabi","HALABI","Oriya",3,NA,0,NA
"045001","Halabi","HALABI","Kashmiri",4,0.877573323959404,1,35
"045001","Halabi","HALABI","Sindhi",4,0.682532014162337,1,34
"045001","Halabi","HALABI","Sinhalese",4,0.818235367961606,1,27
"053006","Khandeshi","KHANDESI","Hindi",0,0.714198788200573,2,32
"053006","Khandeshi","KHANDESI","Punjabi",1,0.733135934913256,1,33
"053006","Khandeshi","KHANDESI","Rajasthani",1,NA,0,NA
"053006","Khandeshi","KHANDESI","Gujarati",1,0.688314100311872,1,33
"053006","Khandeshi","KHANDESI","Marathi",2,0.553155542956624,2,30
"053006","Khandeshi","KHANDESI","Bengali",3,0.732540683844337,2,33
"053006","Khandeshi","KHANDESI","Assamese",3,0.683635954645466,1,31
"053006","Khandeshi","KHANDESI","Oriya",3,NA,0,NA
"053006","Khandeshi","KHANDESI","Kashmiri",4,0.89873740861514,1,33
"053006","Khandeshi","KHANDESI","Sindhi",4,0.755921620581547,1,33
"053006","Khandeshi","KHANDESI","Sinhalese",4,0.859552984407956,1,27
"108005","Shina","SHINA_2","Hindi",0,0.736811600779473,6,34
"108005","Shina","SHINA_2","Punjabi",1,0.74835594101053,3,34
"108005","Shina","SHINA_2","Rajasthani",1,NA,0,NA
"108005","Shina","SHINA_2","Gujarati",1,0.777859748023192,3,34
"108005","Shina","SHINA_2","Marathi",2,0.761576394826338,6,30
"108005","Shina","SHINA_2","Bengali",3,0.800080023998661,6,34
"108005","Shina","SHINA_2","Assamese",3,0.803016162761952,3,31
"108005","Shina","SHINA_2","Oriya",3,NA,0,NA
"108005","Shina","SHINA_2","Kashmiri",4,0.827477837069301,3,34
"108005","Shina","SHINA_2","Sindhi",4,0.812410280861572,3,33
"108005","Shina","SHINA_2","Sinhalese",4,0.812079783566618,3,26
