"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"geo_component_0111",NA,NA,"21",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.7609001892161,13.9672603579848,0.2063601687687,946854
"geo_component_0112",NA,NA,"21",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2608826821275,14.5300674071708,0.269184725043299,1561071
"geo_component_0113",NA,NA,"21",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.438882596858,14.6660285139885,0.2271459171305,1865207
"geo_component_0115",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.9105707065134,14.1547090749038,0.244138368390399,1099725
"geo_component_0116",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.8577750453338,15.1138621084449,0.256087063111101,2835631
"geo_component_0117",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.857472158109,12.0305161539931,0.1730439958841,141135
"geo_component_0118",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.6931915000967,13.9567279623796,0.2635364622829,884866
"geo_component_0119",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1708353909132,14.4052397793257,0.2344043884125,1426644
"geo_component_0120",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.7308307598263,13.014824936232,0.283994176405699,338010
"geo_component_0121",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.649592918212,13.9484265112448,0.2988335930328,847116
