"source_unit_id","target_unit_id","population_weight_reference","mapping_class_reference","evidence_source_reference","population_weight_candidate","mapping_class_candidate","evidence_source_candidate","edge_status","population_weight_abs_diff"
"census1991__07__16","census2001__24__21",0.74265479628366,"non_nested_or_incomplete","district_transition",0.7427,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",4.5203716339981e-05
"census1991__07__16","census2001__24__20",0.252790650294765,"non_nested_or_incomplete","district_transition",0.2573,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00450934970523498
"census1991__08__01","census2001__06__02",0.729220565300276,"non_nested_or_incomplete","district_transition",0.7221,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00712056530027605
"census1991__08__01","census2001__06__01",0.2695301271118,"non_nested_or_incomplete","district_transition",0.2779,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00836987288819996
"census1991__08__03","census2001__06__04",0.902422803460872,"non_nested_or_incomplete","district_transition",0.9939,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.091477196539128
"census1991__08__03","census2001__06__05",0.00625700800961282,"non_nested_or_incomplete","district_transition",0.0061,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000157008009612819
"census1991__08__04","census2001__06__05",0.934872842109412,"non_nested_or_incomplete","district_transition",0.9356,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00072715789058797
"census1991__08__04","census2001__06__09",0.0386449629512849,"non_nested_or_incomplete","district_transition",0.0382,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000444962951284905
"census1991__08__04","census2001__06__04",0.0167519805297178,"non_nested_or_incomplete","district_transition",0.0166,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.0001519805297178
"census1991__08__04","census2001__06__06",0.00973021440958537,"non_nested_or_incomplete","district_transition",0.0096,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000130214409585371
"census1991__08__05","census2001__06__06",0.976413724690456,"non_nested_or_incomplete","district_transition",0.9785,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00208627530954408
"census1991__08__05","census2001__06__07",0.0191426644265957,"non_nested_or_incomplete","district_transition",0.0191,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",4.2664426595701e-05
"census1991__08__05","census2001__06__04",0.00236811808051376,"non_nested_or_incomplete","district_transition",0.0024,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",3.18819194862398e-05
"census1991__08__06","census2001__06__07",0.805233496708648,"non_nested_or_incomplete","district_transition",0.8172,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.0119665032913521
"census1991__08__06","census2001__06__06",0.185930055444627,"non_nested_or_incomplete","district_transition",0.1828,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00313005544462702
"census1991__08__07","census2001__06__08",0.99999322557481,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",6.77442519003701e-06
"census1991__08__08","census2001__06__14",0.438170154876397,"non_nested_or_incomplete","district_transition",0.4296,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00857015487639701
"census1991__08__08","census2001__06__15",0.387602973875736,"non_nested_or_incomplete","district_transition",0.3884,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000797026124264022
"census1991__08__08","census2001__06__08",0.154256407183352,"non_nested_or_incomplete","district_transition",0.1605,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00624359281664799
"census1991__08__08","census2001__06__13",0.0148993410017672,"non_nested_or_incomplete","district_transition",0.0143,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000599341001767199
"census1991__08__08","census2001__06__09",0.00256754054852946,"non_nested_or_incomplete","district_transition",0.0025,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",6.75405485294597e-05
"census1991__08__08","census2001__06__12",0.00247650118437603,"non_nested_or_incomplete","district_transition",0.0047,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00222349881562397
"census1991__08__09","census2001__06__19",0.99921096028045,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000789039719550022
"census1991__08__10","census2001__06__18",0.999912750608297,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",8.72493917030148e-05
"census1991__08__11","census2001__06__17",0.981650316617842,"non_nested_or_incomplete","district_transition",0.9796,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00205031661784194
"census1991__08__11","census2001__06__15",0.0183464301806015,"non_nested_or_incomplete","district_transition",0.0204,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.0020535698193985
"census1991__08__12","census2001__06__16",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__08__14","census2001__06__09",0.98063611340778,"non_nested_or_incomplete","district_transition",0.9808,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000163886592219997
"census1991__08__14","census2001__06__05",0.0105820050445321,"non_nested_or_incomplete","district_transition",0.0105,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",8.20050445320998e-05
"census1991__08__14","census2001__06__06",0.00878188154768757,"non_nested_or_incomplete","district_transition",0.0087,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",8.18815476875713e-05
"census1991__08__15","census2001__06__12",0.649007115351919,"non_nested_or_incomplete","district_transition",0.6497,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000692884648081038
"census1991__08__15","census2001__06__10",0.350992884648081,"non_nested_or_incomplete","district_transition",0.3503,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000692884648080982
"census1991__08__16","census2001__06__11",0.996964217156402,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00303578284359796
"census1991__09__01","census2001__02__01",0.993396662988258,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00660333701174198
"census1991__09__02","census2001__02__02",0.999269253299658,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000730746700342011
"census1991__09__04","census2001__02__07",0.999980516254315,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",1.9483745684945e-05
"census1991__09__09","census2001__02__11",0.996859458693968,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00314054130603203
