"target_unit_id","source_set_reference","n_sources_reference","source_set_candidate","n_sources_candidate","target_status"
"census2001__33__10","census1991__23__08|census1991__23__11",2,NA,NA,"reference_only"
"census2001__10__01","census1991__05__12",1,NA,NA,"reference_only"
"census2001__10__02","census1991__05__13",1,NA,NA,"reference_only"
"census2001__10__04","census1991__05__14",1,NA,NA,"reference_only"
"census2001__10__03","census1991__05__14",1,NA,NA,"reference_only"
"census2001__10__14","census1991__05__15",1,NA,NA,"reference_only"
"census2001__10__18","census1991__05__16",1,NA,NA,"reference_only"
"census2001__17__03","census1991__16__05",1,NA,NA,"reference_only"
"census2001__15__04","census1991__17__01",1,NA,NA,"reference_only"
"census2001__10__13","census1991__05__19",1,NA,NA,"reference_only"
"census2001__10__05","census1991__05__20",1,NA,NA,"reference_only"
"census2001__32__07","census1991__12__07",1,NA,NA,"reference_only"
"census2001__15__02","census1991__17__01",1,NA,NA,"reference_only"
"census2001__15__06","census1991__17__02",1,NA,NA,"reference_only"
"census2001__10__09","census1991__05__23",1,NA,NA,"reference_only"
"census2001__10__10","census1991__05__24",1,NA,NA,"reference_only"
"census2001__23__39","census1991__13__33",1,NA,NA,"reference_only"
"census2001__09__25","census1991__25__30",1,NA,NA,"reference_only"
"census2001__32__14","census1991__12__14",1,NA,NA,"reference_only"
"census2001__10__22","census1991__05__27",1,NA,NA,"reference_only"
"census2001__10__23","census1991__05__27",1,NA,NA,"reference_only"
"census2001__20__08","census1991__05__28",1,NA,NA,"reference_only"
"census2001__20__09","census1991__05__29",1,NA,NA,"reference_only"
"census2001__20__10","census1991__05__29",1,NA,NA,"reference_only"
"census2001__20__11","census1991__05__30",1,NA,NA,"reference_only"
"census2001__20__07","census1991__05__31",1,NA,NA,"reference_only"
"census2001__23__08","census1991__13__07",1,NA,NA,"reference_only"
"census2001__23__09","census1991__13__08",1,NA,NA,"reference_only"
"census2001__23__10","census1991__13__09",1,NA,NA,"reference_only"
"census2001__20__04","census1991__05__34",1,NA,NA,"reference_only"
"census2001__20__03","census1991__05__34",1,NA,NA,"reference_only"
"census2001__20__05","census1991__05__34",1,NA,NA,"reference_only"
"census2001__20__02","census1991__05__35",1,NA,NA,"reference_only"
"census2001__20__01","census1991__05__35",1,NA,NA,"reference_only"
"census2001__20__15","census1991__05__36",1,NA,NA,"reference_only"
"census2001__20__16","census1991__05__37",1,NA,NA,"reference_only"
"census2001__20__14","census1991__05__38",1,NA,NA,"reference_only"
"census2001__20__18","census1991__05__39",1,NA,NA,"reference_only"
"census2001__20__17","census1991__05__40",1,NA,NA,"reference_only"
"census2001__10__07","census1991__05__41",1,NA,NA,"reference_only"
"census2001__10__08","census1991__05__42",1,NA,NA,"reference_only"
"census2001__30__01","census1991__06__01",1,NA,NA,"reference_only"
"census2001__30__02","census1991__06__02",1,NA,NA,"reference_only"
"census2001__24__10","census1991__07__01",1,NA,NA,"reference_only"
"census2001__24__09","census1991__07__02",1,NA,NA,"reference_only"
"census2001__23__27","census1991__13__24",1,NA,NA,"reference_only"
"census2001__23__28","census1991__13__24",1,NA,NA,"reference_only"
"census2001__23__29","census1991__13__25",1,NA,NA,"reference_only"
"census2001__09__17","census1991__25__22",1,NA,NA,"reference_only"
"census2001__27__25","census1991__14__10",1,NA,NA,"reference_only"
"census2001__24__25","census1991__07__05|census1991__07__18",2,NA,NA,"reference_only"
"census2001__09__19","census1991__25__24",1,NA,NA,"reference_only"
"census2001__24__01","census1991__07__07",1,NA,NA,"reference_only"
"census2001__24__02","census1991__07__08",1,NA,NA,"reference_only"
"census2001__09__22","census1991__25__27",1,NA,NA,"reference_only"
"census2001__09__23","census1991__25__28",1,NA,NA,"reference_only"
"census2001__09__65","census1991__25__60",1,NA,NA,"reference_only"
"census2001__08__29","census1991__21__22",1,NA,NA,"reference_only"
"census2001__23__40","census1991__13__34",1,NA,NA,"reference_only"
"census2001__09__27","census1991__25__32",1,NA,NA,"reference_only"
"census2001__09__28","census1991__25__33",1,NA,NA,"reference_only"
"census2001__24__17","census1991__07__14",1,NA,NA,"reference_only"
"census2001__24__18","census1991__07__14",1,NA,NA,"reference_only"
"census2001__09__29","census1991__25__34",1,NA,NA,"reference_only"
"census2001__09__30","census1991__25__34",1,NA,NA,"reference_only"
"census2001__22__01","census1991__13__39",1,NA,NA,"reference_only"
"census2001__24__24","census1991__07__18",1,NA,NA,"reference_only"
"census2001__24__23","census1991__07__19",1,NA,NA,"reference_only"
"census2001__22__06","census1991__13__40",1,NA,NA,"reference_only"
"census2001__22__08","census1991__13__40|census1991__13__42",2,NA,NA,"reference_only"
"census2001__22__04","census1991__13__41",1,NA,NA,"reference_only"
"census2001__22__03","census1991__13__41",1,NA,NA,"reference_only"
"census2001__22__09","census1991__13__42",1,NA,NA,"reference_only"
"census2001__08__03","census1991__21__02",1,NA,NA,"reference_only"
"census2001__08__04","census1991__21__03",1,NA,NA,"reference_only"
"census2001__08__05","census1991__21__04",1,NA,NA,"reference_only"
"census2001__09__45","census1991__25__45",1,NA,NA,"reference_only"
"census2001__08__07","census1991__21__06",1,NA,NA,"reference_only"
"census2001__08__08","census1991__21__07",1,NA,NA,"reference_only"
"census2001__09__51","census1991__25__46",1,NA,NA,"reference_only"
"census2001__27__21","census1991__14__02",1,NA,NA,"reference_only"
"census2001__27__24","census1991__14__03",1,NA,NA,"reference_only"
"census2001__09__46","census1991__25__48",1,NA,NA,"reference_only"
"census2001__33__12","census1991__23__10",1,NA,NA,"reference_only"
"census2001__08__13","census1991__21__10",1,NA,NA,"reference_only"
"census2001__08__21","census1991__21__11",1,NA,NA,"reference_only"
"census2001__08__22","census1991__21__12",1,NA,NA,"reference_only"
"census2001__09__57","census1991__25__52",1,NA,NA,"reference_only"
"census2001__33__17","census1991__23__12",1,NA,NA,"reference_only"
"census2001__33__16","census1991__23__12",1,NA,NA,"reference_only"
"census2001__08__20","census1991__21__16",1,NA,NA,"reference_only"
"census2001__08__17","census1991__21__17",1,NA,NA,"reference_only"
"census2001__08__18","census1991__21__18",1,NA,NA,"reference_only"
"census2001__02__04","census1991__09__07",1,NA,NA,"reference_only"
"census2001__02__03","census1991__09__08",1,NA,NA,"reference_only"
"census2001__15__07","census1991__17__03",1,NA,NA,"reference_only"
"census2001__32__11","census1991__12__11",1,NA,NA,"reference_only"
"census2001__09__24","census1991__25__29",1,NA,NA,"reference_only"
"census2001__08__27","census1991__21__23",1,NA,NA,"reference_only"
"census2001__27__15","census1991__14__19",1,NA,NA,"reference_only"
"census2001__29__21","census1991__11__02",1,NA,NA,"reference_only"
"census2001__09__70","census1991__25__63",1,NA,NA,"reference_only"
"census2001__27__04","census1991__14__22",1,NA,NA,"reference_only"
"census2001__27__05","census1991__14__23",1,NA,NA,"reference_only"
"census2001__29__05","census1991__11__05",1,NA,NA,"reference_only"
"census2001__29__03","census1991__11__06",1,NA,NA,"reference_only"
"census2001__29__02","census1991__11__06",1,NA,NA,"reference_only"
"census2001__27__08","census1991__14__26",1,NA,NA,"reference_only"
"census2001__21__04","census1991__19__01",1,NA,NA,"reference_only"
"census2001__33__22","census1991__23__02|census1991__23__14",2,NA,NA,"reference_only"
"census2001__19__11","census1991__26__08",1,NA,NA,"reference_only"
"census2001__33__04","census1991__23__03",1,NA,NA,"reference_only"
"census2001__33__05","census1991__23__04",1,NA,NA,"reference_only"
"census2001__33__06","census1991__23__05",1,NA,NA,"reference_only"
"census2001__29__04","census1991__11__11",1,NA,NA,"reference_only"
"census2001__29__23","census1991__11__12",1,NA,NA,"reference_only"
"census2001__29__25","census1991__11__13",1,NA,NA,"reference_only"
"census2001__29__19","census1991__11__14",1,NA,NA,"reference_only"
"census2001__29__22","census1991__11__15",1,NA,NA,"reference_only"
"census2001__33__30","census1991__23__07|census1991__23__21",2,NA,NA,"reference_only"
"census2001__33__13","census1991__23__07|census1991__23__11",2,NA,NA,"reference_only"
"census2001__35__02","census1991__27__02",1,NA,NA,"reference_only"
"census2001__33__11","census1991__23__09",1,NA,NA,"reference_only"
"census2001__23__24","census1991__13__21",1,NA,NA,"reference_only"
"census2001__29__18","census1991__11__19",1,NA,NA,"reference_only"
"census2001__25__01","census1991__30__02",1,NA,NA,"reference_only"
"census2001__32__01","census1991__12__01",1,NA,NA,"reference_only"
"census2001__17__01","census1991__16__05",1,NA,NA,"reference_only"
"census2001__33__14","census1991__23__12",1,NA,NA,"reference_only"
"census2001__34__04","census1991__33__02",1,NA,NA,"reference_only"
"census2001__32__05","census1991__12__05",1,NA,NA,"reference_only"
"census2001__15__01","census1991__17__01",1,NA,NA,"reference_only"
"census2001__15__05","census1991__17__01",1,NA,NA,"reference_only"
"census2001__23__34","census1991__13__30",1,NA,NA,"reference_only"
"census2001__23__35","census1991__13__31",1,NA,NA,"reference_only"
"census2001__27__19","census1991__14__15",1,NA,NA,"reference_only"
"census2001__33__29","census1991__23__20",1,NA,NA,"reference_only"
"census2001__15__08","census1991__17__03",1,NA,NA,"reference_only"
"census2001__23__12","census1991__13__11",1,NA,NA,"reference_only"
"census2001__23__22","census1991__13__11|census1991__13__19",2,NA,NA,"reference_only"
"census2001__23__02","census1991__13__01",1,NA,NA,"reference_only"
"census2001__23__01","census1991__13__01",1,NA,NA,"reference_only"
"census2001__23__03","census1991__13__02",1,NA,NA,"reference_only"
"census2001__23__44","census1991__13__37",1,NA,NA,"reference_only"
"census2001__05__05","census1991__25__04",1,NA,NA,"reference_only"
"census2001__23__06","census1991__13__05",1,NA,NA,"reference_only"
"census2001__23__07","census1991__13__06",1,NA,NA,"reference_only"
"census2001__21__02","census1991__19__01",1,NA,NA,"reference_only"
"census2001__22__05","census1991__13__40",1,NA,NA,"reference_only"
"census2001__21__05","census1991__19__02",1,NA,NA,"reference_only"
"census2001__23__11","census1991__13__10",1,NA,NA,"reference_only"
"census2001__23__25","census1991__13__22",1,NA,NA,"reference_only"
"census2001__23__26","census1991__13__23",1,NA,NA,"reference_only"
"census2001__23__13","census1991__13__12",1,NA,NA,"reference_only"
"census2001__23__14","census1991__13__13",1,NA,NA,"reference_only"
"census2001__23__16","census1991__13__14",1,NA,NA,"reference_only"
"census2001__23__15","census1991__13__14",1,NA,NA,"reference_only"
"census2001__23__17","census1991__13__15",1,NA,NA,"reference_only"
"census2001__23__19","census1991__13__16",1,NA,NA,"reference_only"
"census2001__23__18","census1991__13__16",1,NA,NA,"reference_only"
"census2001__23__20","census1991__13__17",1,NA,NA,"reference_only"
"census2001__23__21","census1991__13__18",1,NA,NA,"reference_only"
"census2001__23__23","census1991__13__20",1,NA,NA,"reference_only"
"census2001__21__21","census1991__19__08",1,NA,NA,"reference_only"
"census2001__09__64","census1991__25__58",1,NA,NA,"reference_only"
"census2001__09__37","census1991__25__40",1,NA,NA,"reference_only"
"census2001__09__54","census1991__25__51|census1991__25__53",2,NA,NA,"reference_only"
"census2001__17__02","census1991__16__04",1,NA,NA,"reference_only"
"census2001__33__15","census1991__23__12",1,NA,NA,"reference_only"
"census2001__34__02","census1991__33__01",1,NA,NA,"reference_only"
"census2001__08__14","census1991__21__15",1,NA,NA,"reference_only"
"census2001__21__20","census1991__19__12",1,NA,NA,"reference_only"
"census2001__09__60","census1991__25__55",1,NA,NA,"reference_only"
"census2001__09__62","census1991__25__56",1,NA,NA,"reference_only"
"census2001__08__19","census1991__21__19",1,NA,NA,"reference_only"
"census2001__09__21","census1991__25__26",1,NA,NA,"reference_only"
"census2001__08__24","census1991__21__20|census1991__21__22",2,NA,NA,"reference_only"
"census2001__03__15","census1991__20__11",1,NA,NA,"reference_only"
"census2001__26__01","census1991__29__01",1,NA,NA,"reference_only"
"census2001__08__01","census1991__21__01",1,NA,NA,"reference_only"
"census2001__08__28","census1991__21__24",1,NA,NA,"reference_only"
"census2001__05__01","census1991__25__01",1,NA,NA,"reference_only"
"census2001__23__43","census1991__13__36",1,NA,NA,"reference_only"
"census2001__19__03","census1991__26__01",1,NA,NA,"reference_only"
"census2001__11__01","census1991__22__01",1,NA,NA,"reference_only"
"census2001__27__06","census1991__14__23",1,NA,NA,"reference_only"
"census2001__27__07","census1991__14__24",1,NA,NA,"reference_only"
"census2001__22__07","census1991__13__40",1,NA,NA,"reference_only"
"census2001__33__03","census1991__23__02",1,NA,NA,"reference_only"
"census2001__03__14","census1991__20__11",1,NA,NA,"reference_only"
"census2001__19__06","census1991__26__05",1,NA,NA,"reference_only"
"census2001__09__35","census1991__25__38",1,NA,NA,"reference_only"
"census2001__25__02","census1991__30__01",1,NA,NA,"reference_only"
"census2001__08__02","census1991__21__01",1,NA,NA,"reference_only"
"census2001__09__40","census1991__25__42",1,NA,NA,"reference_only"
"census2001__09__41","census1991__25__42",1,NA,NA,"reference_only"
"census2001__09__43","census1991__25__44",1,NA,NA,"reference_only"
"census2001__33__28","census1991__23__06|census1991__23__13|census1991__23__17|census1991__23__19",4,NA,NA,"reference_only"
"census2001__09__44","census1991__25__45",1,NA,NA,"reference_only"
"census2001__09__50","census1991__25__46",1,NA,NA,"reference_only"
"census2001__19__08","census1991__26__17",1,NA,NA,"reference_only"
"census2001__09__53","census1991__25__47",1,NA,NA,"reference_only"
"census2001__09__52","census1991__25__47",1,NA,NA,"reference_only"
"census2001__19__04","census1991__26__04",1,NA,NA,"reference_only"
"census2001__19__05","census1991__26__04",1,NA,NA,"reference_only"
"census2001__21__06","census1991__19__03",1,NA,NA,"reference_only"
"census2001__21__23","census1991__19__09",1,NA,NA,"reference_only"
"census2001__19__15","census1991__26__08|census1991__26__13",2,NA,NA,"reference_only"
"census2001__19__18","census1991__26__09",1,NA,NA,"reference_only"
"census2001__31__01","census1991__32__01",1,NA,NA,"reference_only"
"census2001__34__03","census1991__33__03",1,NA,NA,"reference_only"
"census2001__09__59","census1991__25__55",1,NA,NA,"reference_only"
"census2001__34__01","census1991__33__04",1,NA,NA,"reference_only"
"census2001__21__01","census1991__19__01",1,NA,NA,"reference_only"
"census2001__09__20","census1991__25__25",1,NA,NA,"reference_only"
"census2001__11__02","census1991__22__04",1,NA,NA,"reference_only"
"census2001__11__03","census1991__22__03",1,NA,NA,"reference_only"
"census2001__19__01","census1991__26__03",1,NA,NA,"reference_only"
"census2001__21__22","census1991__19__08",1,NA,NA,"reference_only"
"census2001__19__12","census1991__26__08|census1991__26__12",2,NA,NA,"reference_only"
"census2001__21__07","census1991__19__04",1,NA,NA,"reference_only"
"census2001__09__38","census1991__25__41",1,NA,NA,"reference_only"
"census2001__33__07","census1991__23__06|census1991__23__15",2,NA,NA,"reference_only"
"census2001__13__03","census1991__18__05",1,NA,NA,"reference_only"
"census2001__03__03","census1991__20__06",1,NA,NA,"reference_only"
"census2001__19__02","census1991__26__02",1,NA,NA,"reference_only"
"census2001__33__09","census1991__23__07",1,NA,NA,"reference_only"
"census2001__27__14","census1991__14__25",1,NA,NA,"reference_only"
"census2001__35__01","census1991__27__01",1,NA,NA,"reference_only"
"census2001__19__16","census1991__26__11",1,NA,NA,"reference_only"
"census2001__33__08","census1991__23__07",1,NA,NA,"reference_only"
"census2001__21__08","census1991__19__05",1,NA,NA,"reference_only"
"census2001__21__24","census1991__19__09",1,NA,NA,"reference_only"
"census2001__21__03","census1991__19__01",1,NA,NA,"reference_only"
"census2001__09__05","census1991__25__11",1,NA,NA,"reference_only"
"census2001__19__13","census1991__26__14",1,NA,NA,"reference_only"
"census2001__33__18","census1991__23__06",1,NA,NA,"reference_only"
"census2001__09__36","census1991__25__39",1,NA,NA,"reference_only"
"census2001__19__09","census1991__26__16",1,NA,NA,"reference_only"
"census2001__15__03","census1991__17__01",1,NA,NA,"reference_only"
"census2001__21__19","census1991__19__06|census1991__19__12",2,NA,NA,"reference_only"
"census2001__21__09","census1991__19__05",1,NA,NA,"reference_only"
"census2001__09__39","census1991__25__41",1,NA,NA,"reference_only"
"census2001__09__58","census1991__25__54",1,NA,NA,"reference_only"
"census2001__11__04","census1991__22__02",1,NA,NA,"reference_only"
"census2001__19__14","census1991__26__15",1,NA,NA,"reference_only"
"census2001__01__05",NA,NA,"census1991__10__02",1,"candidate_only"
"census2001__01__03",NA,NA,"census1991__10__03",1,"candidate_only"
"census2001__01__10",NA,NA,"census1991__10__10",1,"candidate_only"
"census2001__01__06",NA,NA,"census1991__10__01",1,"candidate_only"
"census2001__01__04",NA,NA,"census1991__10__04",1,"candidate_only"
"census2001__01__09",NA,NA,"census1991__10__09",1,"candidate_only"
"census2001__01__13",NA,NA,"census1991__10__12",1,"candidate_only"
"census2001__01__14",NA,NA,"census1991__10__11",1,"candidate_only"
"census2001__01__01",NA,NA,"census1991__10__06",1,"candidate_only"
"census2001__33__02",NA,NA,"census1991__23__01",1,"candidate_only"
