"analysis_id","predictor_id","sample_id","period_id","domain","predictor","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason"
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1981","demography","emie_exposure","log_population;urban_share",0.20056202803216,0.818998183500821,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1981","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",1.13576166558025,0.33021029646384,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1981","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",6.50057426138509,0.000975500952880849,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1991","demography","emie_exposure","log_population;urban_share",4.57274361592228,0.0155643351073459,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1991","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",0.826040891774774,0.444307273920596,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1991","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",8.22103883479909,0.000212042012266195,54,10,64441939,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1971","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",3.06439986972244,0.0565334659680161,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1971","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.38280195094264,0.261329188214747,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1971","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",3.87209803371275,0.0152968495219212,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1971_1981","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",0.243175117400391,0.785157913574926,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1971_1981","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.28358740956261,0.28698949945577,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1971_1981","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.671192062098406,0.574288832678084,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1981_1991","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",21.6773306606722,2.55339829369438e-07,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1981_1991","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",2.52137561207223,0.0916442144416154,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1981_1991","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",6.74898499653497,0.000835265492226866,54,10,64441939,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1981","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",0.352070371775407,0.705150340571992,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1981","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",2.90880970704698,0.0648573860950024,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1981","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",3.45629475504643,0.0242701453875833,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1991","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",1.78057376309795,0.180210624595017,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1991","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.15217267227202,0.325093463404318,59,12,68802676,"estimated",NA
"strict_one_to_one","census_2001_ld","historical_ld_support","1961_1991","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.366961562833238,0.777206787469368,54,10,64441939,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1971","demography","ling_distance_helms_lim_1991","log_population;urban_share",1.9386424000803,0.155730054015941,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1971","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",0.396319818096612,0.675116614681474,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1971","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",4.41053510507224,0.00850175925123033,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1971_1981","demography","ling_distance_helms_lim_1991","log_population;urban_share",1.12143238977078,0.334746847070668,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1971_1981","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",1.13482671597318,0.330504327791195,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1971_1981","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.1034485604303,0.357869581559814,59,12,68802676,"estimated",NA
