"geography_spec_id","transition_id","source_vintage","source_state_code","source_district_code","source_unit_id","target_vintage","target_state_code","target_district_code","target_unit_id","allocation_weight","mapping_class","evidence_source","source_population_coverage","unallocated_population_share","allocation_status"
"G2_population_interpolated","shrug_1991_2001",1991,"04","04","census1991__04__04",2001,"18","03","census2001__18__03",0.989196964911467,"non_nested_or_incomplete","district_transition",0.989196964911467,0.010803035088533,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","05","census1991__04__05",2001,"18","05","census2001__18__05",0.997552605561113,"non_nested_or_incomplete","district_transition",0.997552605561113,0.00244739443888697,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","06","census1991__04__06",2001,"18","07","census2001__18__07",0.993895854477013,"non_nested_or_incomplete","district_transition",0.993895854477013,0.00610414552298699,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","07","census1991__04__07",2001,"18","06","census2001__18__06",0.998890354081562,"non_nested_or_incomplete","district_transition",0.998890354081562,0.00110964591843798,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","08","census1991__04__08",2001,"18","08","census2001__18__08",0.99002198780929,"non_nested_or_incomplete","district_transition",0.99002198780929,0.00997801219071004,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","09","census1991__04__09",2001,"18","11","census2001__18__11",0.991644410058702,"non_nested_or_incomplete","district_transition",0.991644410058702,0.00835558994129804,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","10","census1991__04__10",2001,"18","12","census2001__18__12",0.995765334682541,"non_nested_or_incomplete","district_transition",0.995765334682541,0.00423466531745897,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","11","census1991__04__11",2001,"18","13","census2001__18__13",0.974533853427794,"non_nested_or_incomplete","district_transition",0.974533853427794,0.025466146572206,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","12","census1991__04__12",2001,"18","09","census2001__18__09",0.99289649990608,"non_nested_or_incomplete","district_transition",0.99289649990608,0.00710350009392002,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","13","census1991__04__13",2001,"18","10","census2001__18__10",0.997864433148482,"non_nested_or_incomplete","district_transition",0.997864433148482,0.00213556685151794,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","14","census1991__04__14",2001,"18","18","census2001__18__18",0.993173646965309,"non_nested_or_incomplete","district_transition",0.993173646965309,0.00682635303469104,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","15","census1991__04__15",2001,"18","17","census2001__18__17",0.996141950187205,"non_nested_or_incomplete","district_transition",0.996141950187205,0.00385804981279503,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","16","census1991__04__16",2001,"18","16","census2001__18__16",0.999216180169913,"non_nested_or_incomplete","district_transition",0.999216180169913,0.000783819830087018,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","17","census1991__04__17",2001,"18","15","census2001__18__15",0.997900742014951,"non_nested_or_incomplete","district_transition",0.997900742014951,0.00209925798504895,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","18","census1991__04__18",2001,"18","14","census2001__18__14",0.992233318837808,"non_nested_or_incomplete","district_transition",0.992233318837808,0.00776668116219204,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","19","census1991__04__19",2001,"18","19","census2001__18__19",0.944076955575451,"non_nested_or_incomplete","district_transition",0.944076955575451,0.055923044424549,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","20","census1991__04__20",2001,"18","20","census2001__18__20",0.977323399482073,"non_nested_or_incomplete","district_transition",0.977323399482073,0.022676600517927,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","21","census1991__04__21",2001,"18","22","census2001__18__22",0.996051923626898,"non_nested_or_incomplete","district_transition",0.996051923626898,0.00394807637310202,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","22","census1991__04__22",2001,"18","23","census2001__18__23",0.999255572618445,"non_nested_or_incomplete","district_transition",0.999255572618445,0.000744427381555002,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","23","census1991__04__23",2001,"18","21","census2001__18__21",0.999543806838658,"non_nested_or_incomplete","district_transition",0.999543806838658,0.000456193161342044,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","01","census1991__05__01",2001,"10","28","census2001__10__28",0.99949491628927,"non_nested_or_incomplete","district_transition",0.99949491628927,0.000505083710729992,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","02","census1991__05__02",2001,"10","27","census2001__10__27",0.994207192710692,"non_nested_or_incomplete","district_transition",0.995077064757419,0.00492293524258103,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","02","census1991__05__02",2001,"10","26","census2001__10__26",0.000869872046726844,"non_nested_or_incomplete","district_transition",0.995077064757419,0.00492293524258103,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","03","census1991__05__03",2001,"10","29","census2001__10__29",0.62184237377046,"non_nested_or_incomplete","district_transition",0.999066464336959,0.000933535663040996,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","03","census1991__05__03",2001,"10","30","census2001__10__30",0.377224090566499,"non_nested_or_incomplete","district_transition",0.999066464336959,0.000933535663040996,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","04","census1991__05__04",2001,"10","32","census2001__10__32",0.66474455092048,"non_nested_or_incomplete","district_transition",0.999609754688702,0.000390245311298054,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","04","census1991__05__04",2001,"10","31","census2001__10__31",0.334593923106889,"non_nested_or_incomplete","district_transition",0.999609754688702,0.000390245311298054,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","04","census1991__05__04",2001,"10","19","census2001__10__19",0.000271280661333429,"non_nested_or_incomplete","district_transition",0.999609754688702,0.000390245311298054,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","05","census1991__05__05",2001,"10","34","census2001__10__34",0.99962457976316,"non_nested_or_incomplete","district_transition",0.99962457976316,0.000375420236840007,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","06","census1991__05__06",2001,"10","33","census2001__10__33",1,"deterministic_containment","district_transition",1,0,"complete_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","07","census1991__05__07",2001,"10","35","census2001__10__35",0.999905605771188,"non_nested_or_incomplete","district_transition",0.999905605771188,9.4394228811967e-05,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","08","census1991__05__08",2001,"10","36","census2001__10__36",0.999996319984691,"non_nested_or_incomplete","district_transition",0.999996319984691,3.68001530903772e-06,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","09","census1991__05__09",2001,"10","17","census2001__10__17",0.999999611310099,"non_nested_or_incomplete","district_transition",0.999999611310099,3.88689901043016e-07,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","10","census1991__05__10",2001,"10","16","census2001__10__16",0.999972350689113,"non_nested_or_incomplete","district_transition",0.999972350689113,2.76493108869458e-05,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","11","census1991__05__11",2001,"10","15","census2001__10__15",0.998043196366858,"non_nested_or_incomplete","district_transition",0.998043196366858,0.00195680363314199,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","12","census1991__05__12",2001,"10","01","census2001__10__01",0.997351357814845,"non_nested_or_incomplete","district_transition",0.997351357814845,0.00264864218515504,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","13","census1991__05__13",2001,"10","02","census2001__10__02",0.999923012160774,"non_nested_or_incomplete","district_transition",0.999923012160774,7.69878392260503e-05,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","14","census1991__05__14",2001,"10","04","census2001__10__04",0.841789759125568,"non_nested_or_incomplete","district_transition",0.999412083236637,0.000587916763363006,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","14","census1991__05__14",2001,"10","03","census2001__10__03",0.157622324111069,"non_nested_or_incomplete","district_transition",0.999412083236637,0.000587916763363006,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","15","census1991__05__15",2001,"10","14","census2001__10__14",0.999859787730817,"non_nested_or_incomplete","district_transition",0.999859787730817,0.000140212269183038,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","16","census1991__05__16",2001,"10","18","census2001__10__18",0.99878771997637,"non_nested_or_incomplete","district_transition",0.99878771997637,0.00121228002363005,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","17","census1991__05__17",2001,"10","20","census2001__10__20",0.993518997126798,"non_nested_or_incomplete","district_transition",0.994087700181147,0.005912299818853,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","17","census1991__05__17",2001,"10","24","census2001__10__24",0.000568703054348687,"non_nested_or_incomplete","district_transition",0.994087700181147,0.005912299818853,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","18","census1991__05__18",2001,"10","19","census2001__10__19",0.999531456287595,"non_nested_or_incomplete","district_transition",0.999531456287595,0.000468543712405012,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","19","census1991__05__19",2001,"10","13","census2001__10__13",0.999960929261631,"non_nested_or_incomplete","district_transition",0.999960929261631,3.90707383689515e-05,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","20","census1991__05__20",2001,"10","05","census2001__10__05",0.999793954053521,"non_nested_or_incomplete","district_transition",0.999793954053521,0.000206045946478994,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","21","census1991__05__21",2001,"10","06","census2001__10__06",0.534458774432367,"non_nested_or_incomplete","district_transition",0.99471209624245,0.00528790375754995,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","21","census1991__05__21",2001,"10","12","census2001__10__12",0.460253321810083,"non_nested_or_incomplete","district_transition",0.99471209624245,0.00528790375754995,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","22","census1991__05__22",2001,"10","11","census2001__10__11",1,"deterministic_containment","district_transition",1,0,"complete_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","23","census1991__05__23",2001,"10","09","census2001__10__09",0.997816463682802,"non_nested_or_incomplete","district_transition",0.997816463682802,0.00218353631719803,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","24","census1991__05__24",2001,"10","10","census2001__10__10",0.978243434243829,"non_nested_or_incomplete","district_transition",0.978243434243829,0.021756565756171,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","25","census1991__05__25",2001,"10","21","census2001__10__21",0.998692296705823,"non_nested_or_incomplete","district_transition",0.998692296705823,0.00130770329417695,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"05","26","census1991__05__26",2001,"10","37","census2001__10__37",0.343713933160676,"non_nested_or_incomplete","district_transition",0.998196351429886,0.00180364857011395,"partial_population_partition"
