"transition_id","source_vintage","source_state_code","source_district_code","source_unit_id","source_population_coverage","unallocated_population_share","allocation_status"
"shrug_1991_2001",1991,"05","37","census1991__05__37",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"05","38","census1991__05__38",0.99931232888237,0.000687671117630018,"partial_population_partition"
"shrug_1991_2001",1991,"05","39","census1991__05__39",0.999909490368783,9.05096312170395e-05,"partial_population_partition"
"shrug_1991_2001",1991,"05","40","census1991__05__40",0.998883081509322,0.00111691849067797,"partial_population_partition"
"shrug_1991_2001",1991,"05","41","census1991__05__41",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"05","42","census1991__05__42",0.999850625999002,0.000149374000998015,"partial_population_partition"
"shrug_1991_2001",1991,"06","01","census1991__06__01",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"06","02","census1991__06__02",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","01","census1991__07__01",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","02","census1991__07__02",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","03","census1991__07__03",0.99999833781569,1.66218430996956e-06,"partial_population_partition"
"shrug_1991_2001",1991,"07","04","census1991__07__04",0.999941244614455,5.87553855450063e-05,"partial_population_partition"
"shrug_1991_2001",1991,"07","05","census1991__07__05",0.999984495402886,1.55045971139689e-05,"partial_population_partition"
"shrug_1991_2001",1991,"07","06","census1991__07__06",0.999846397626739,0.000153602373261008,"partial_population_partition"
"shrug_1991_2001",1991,"07","07","census1991__07__07",0.999727540662925,0.000272459337074982,"partial_population_partition"
"shrug_1991_2001",1991,"07","08","census1991__07__08",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","09","census1991__07__09",0.999881699747133,0.000118300252866965,"partial_population_partition"
"shrug_1991_2001",1991,"07","10","census1991__07__10",0.999348089735858,0.000651910264142019,"partial_population_partition"
"shrug_1991_2001",1991,"07","11","census1991__07__11",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","12","census1991__07__12",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","13","census1991__07__13",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"07","14","census1991__07__14",0.99996380330513,3.61966948699832e-05,"partial_population_partition"
"shrug_1991_2001",1991,"07","15","census1991__07__15",0.999993502491632,6.49750836800855e-06,"partial_population_partition"
"shrug_1991_2001",1991,"07","16","census1991__07__16",0.99807974025722,0.00192025974277998,"partial_population_partition"
"shrug_1991_2001",1991,"07","17","census1991__07__17",0.999663375022427,0.00033662497757303,"partial_population_partition"
"shrug_1991_2001",1991,"07","18","census1991__07__18",0.999952775307227,4.72246927729625e-05,"partial_population_partition"
"shrug_1991_2001",1991,"07","19","census1991__07__19",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"08","01","census1991__08__01",0.998750692412076,0.00124930758792396,"partial_population_partition"
"shrug_1991_2001",1991,"08","02","census1991__08__02",0.999922486919668,7.75130803319923e-05,"partial_population_partition"
"shrug_1991_2001",1991,"08","03","census1991__08__03",0.908679811470485,0.091320188529515,"partial_population_partition"
"shrug_1991_2001",1991,"08","04","census1991__08__04",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"08","05","census1991__08__05",0.997924507197565,0.00207549280243502,"partial_population_partition"
"shrug_1991_2001",1991,"08","06","census1991__08__06",0.991163552153275,0.00883644784672499,"partial_population_partition"
"shrug_1991_2001",1991,"08","07","census1991__08__07",0.99999322557481,6.77442519003701e-06,"partial_population_partition"
"shrug_1991_2001",1991,"08","08","census1991__08__08",0.999972918670158,2.70813298419714e-05,"partial_population_partition"
"shrug_1991_2001",1991,"08","09","census1991__08__09",0.99921096028045,0.000789039719550022,"partial_population_partition"
"shrug_1991_2001",1991,"08","10","census1991__08__10",0.999912750608297,8.72493917030148e-05,"partial_population_partition"
"shrug_1991_2001",1991,"08","11","census1991__08__11",0.999996746798443,3.25320155702968e-06,"partial_population_partition"
"shrug_1991_2001",1991,"08","12","census1991__08__12",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"08","13","census1991__08__13",0.999848450538926,0.000151549461073985,"partial_population_partition"
"shrug_1991_2001",1991,"08","14","census1991__08__14",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"08","15","census1991__08__15",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"08","16","census1991__08__16",0.996964217156402,0.00303578284359796,"partial_population_partition"
"shrug_1991_2001",1991,"09","01","census1991__09__01",0.993396662988258,0.00660333701174198,"partial_population_partition"
"shrug_1991_2001",1991,"09","02","census1991__09__02",0.999269253299658,0.000730746700342011,"partial_population_partition"
"shrug_1991_2001",1991,"09","03","census1991__09__03",0.999991795859097,8.20414090296762e-06,"partial_population_partition"
"shrug_1991_2001",1991,"09","04","census1991__09__04",0.999980516254315,1.9483745684945e-05,"partial_population_partition"
"shrug_1991_2001",1991,"09","05","census1991__09__05",0.999869891085143,0.000130108914856986,"partial_population_partition"
"shrug_1991_2001",1991,"09","06","census1991__09__06",0.999631535415115,0.000368464584885042,"partial_population_partition"
"shrug_1991_2001",1991,"09","07","census1991__09__07",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"09","08","census1991__09__08",0.995813894037196,0.004186105962804,"partial_population_partition"
"shrug_1991_2001",1991,"09","09","census1991__09__09",0.996859458693968,0.00314054130603203,"partial_population_partition"
"shrug_1991_2001",1991,"09","10","census1991__09__10",0.999466296068293,0.000533703931707041,"partial_population_partition"
"shrug_1991_2001",1991,"09","11","census1991__09__11",0.999997366036623,2.63396337696342e-06,"partial_population_partition"
"shrug_1991_2001",1991,"09","12","census1991__09__12",0.996520275010523,0.00347972498947702,"partial_population_partition"
"shrug_1991_2001",1991,"11","01","census1991__11__01",0.999977115663038,2.28843369619591e-05,"partial_population_partition"
"shrug_1991_2001",1991,"11","02","census1991__11__02",0.998385044209716,0.00161495579028403,"partial_population_partition"
"shrug_1991_2001",1991,"11","03","census1991__11__03",0.999985007602277,1.49923977229571e-05,"partial_population_partition"
"shrug_1991_2001",1991,"11","04","census1991__11__04",0.999683521991185,0.000316478008814958,"partial_population_partition"
"shrug_1991_2001",1991,"11","05","census1991__11__05",0.990366093259868,0.00963390674013198,"partial_population_partition"
"shrug_1991_2001",1991,"11","06","census1991__11__06",0.9962218106159,0.00377818938410002,"partial_population_partition"
"shrug_1991_2001",1991,"11","07","census1991__11__07",0.999637227858087,0.000362772141913048,"partial_population_partition"
"shrug_1991_2001",1991,"11","08","census1991__11__08",0.999934964939134,6.503506086597e-05,"partial_population_partition"
"shrug_1991_2001",1991,"11","09","census1991__11__09",0.99781521714873,0.00218478285127,"partial_population_partition"
"shrug_1991_2001",1991,"11","10","census1991__11__10",0.998751506703103,0.00124849329689702,"partial_population_partition"
"shrug_1991_2001",1991,"11","11","census1991__11__11",0.987974266355839,0.012025733644161,"partial_population_partition"
"shrug_1991_2001",1991,"11","12","census1991__11__12",0.997725057782414,0.00227494221758595,"partial_population_partition"
"shrug_1991_2001",1991,"11","13","census1991__11__13",0.999825981922593,0.000174018077407023,"partial_population_partition"
"shrug_1991_2001",1991,"11","14","census1991__11__14",0.998508288273641,0.00149171172635898,"partial_population_partition"
"shrug_1991_2001",1991,"11","15","census1991__11__15",0.998688862752634,0.00131113724736598,"partial_population_partition"
"shrug_1991_2001",1991,"11","16","census1991__11__16",0.995427495641301,0.00457250435869905,"partial_population_partition"
"shrug_1991_2001",1991,"11","17","census1991__11__17",0.993135147266147,0.00686485273385296,"partial_population_partition"
"shrug_1991_2001",1991,"11","18","census1991__11__18",0.999882631686979,0.000117368313021005,"partial_population_partition"
"shrug_1991_2001",1991,"11","19","census1991__11__19",0.9974075041701,0.00259249582989995,"partial_population_partition"
"shrug_1991_2001",1991,"11","20","census1991__11__20",0.999809731832803,0.000190268167197027,"partial_population_partition"
"shrug_1991_2001",1991,"12","01","census1991__12__01",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","02","census1991__12__02",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","03","census1991__12__03",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","04","census1991__12__04",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","05","census1991__12__05",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","06","census1991__12__06",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","07","census1991__12__07",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","08","census1991__12__08",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","09","census1991__12__09",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","10","census1991__12__10",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","11","census1991__12__11",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","12","census1991__12__12",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","13","census1991__12__13",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"12","14","census1991__12__14",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"13","01","census1991__13__01",0.998812798235149,0.00118720176485099,"partial_population_partition"
"shrug_1991_2001",1991,"13","02","census1991__13__02",0.999926965489963,7.303451003704e-05,"partial_population_partition"
"shrug_1991_2001",1991,"13","03","census1991__13__03",0.999634718712171,0.000365281287828978,"partial_population_partition"
"shrug_1991_2001",1991,"13","04","census1991__13__04",0.999992430302006,7.569697993981e-06,"partial_population_partition"
"shrug_1991_2001",1991,"13","05","census1991__13__05",0.999553767068187,0.000446232931813006,"partial_population_partition"
"shrug_1991_2001",1991,"13","06","census1991__13__06",0.999195433541723,0.000804566458276978,"partial_population_partition"
"shrug_1991_2001",1991,"13","07","census1991__13__07",0.999936900487791,6.30995122089528e-05,"partial_population_partition"
"shrug_1991_2001",1991,"13","08","census1991__13__08",0.999984230335228,1.5769664772014e-05,"partial_population_partition"
"shrug_1991_2001",1991,"13","09","census1991__13__09",0.999838558604681,0.00016144139531904,"partial_population_partition"
"shrug_1991_2001",1991,"13","10","census1991__13__10",0.999771195240861,0.000228804759139001,"partial_population_partition"
"shrug_1991_2001",1991,"13","11","census1991__13__11",0.999992116140513,7.88385948702341e-06,"partial_population_partition"
"shrug_1991_2001",1991,"13","12","census1991__13__12",0.985701509331203,0.014298490668797,"partial_population_partition"
"shrug_1991_2001",1991,"13","13","census1991__13__13",0.999850802611212,0.000149197388788047,"partial_population_partition"
"shrug_1991_2001",1991,"13","14","census1991__13__14",0.992573675463132,0.00742632453686798,"partial_population_partition"
"shrug_1991_2001",1991,"13","15","census1991__13__15",0.998345879341389,0.00165412065861104,"partial_population_partition"
