"specification_id","adjustment_id","construction_id","instrument","fixed_effect","linear_slope","spearman_rho","isotonic_r_squared","n_bins","share_nondecreasing_bin_steps","n_negative_bin_steps","n_state_slopes","share_negative_state_slopes","n","status","reason","construct_id","treatment","analysis_scope"
"region_expanded__nonzero_mean_sensitivity_low","region_expanded","nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","region",5.61052305784966,0.241505843074636,0.079961991344298,10,0.555555555555556,4,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__nonzero_mean_sensitivity_high","region_expanded","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","region",2.18363399021663,0.144174975612962,0.0286847890417529,10,0.666666666666667,3,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__nonzero_mean_hindi_urdu_separate","region_expanded","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","region",5.67869265637044,0.234325257802785,0.0785095033062654,10,0.555555555555556,4,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__glottolog_mean","region_expanded","glottolog_mean","ling_distance_glottolog_nonhindi_mean","region",-0.0490639736344173,0.0277851789961672,0.0120922214546674,10,0.333333333333333,6,25,0.64,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__glottolog_mean_shastry","region_expanded","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","region",-0.0595497667506084,0.0239087707140474,0.0089566313884033,10,0.555555555555556,4,25,0.6,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__dyen_noncognate","region_expanded","dyen_noncognate","ling_distance_dyen_noncognate_pct","region",-0.0369730207735714,-0.00201420294283064,0.0197791736963107,10,0.444444444444444,5,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__dyen_noncognate_shastry","region_expanded","dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct","region",-0.0512641890191755,-0.0128091905210164,0.0141110554503181,10,0.444444444444444,5,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__nonzero_mean","state_main","nonzero_mean","ling_distance_nonzero_mean","state",0.808801960305561,0.050135398202144,0.0471187785398867,10,0.444444444444444,5,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__distant_share","state_main","distant_share","ling_share_distance_ge3","state",0.0134826255300233,-0.0786900383962503,0.0768050949979864,10,0.444444444444444,5,25,0.6,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__top3_legacy","state_main","top3_legacy","ling_distance_top3_legacy","state",0.264621742056363,0.0221141577958726,0.0190331695344438,10,0.444444444444444,5,25,0.48,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__nonzero_mean_hindi_urdu","state_main","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","state",0.810777686016031,0.0492644630285672,0.0470538059495591,10,0.666666666666667,3,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__nonzero_mean_shastry","state_main","nonzero_mean_shastry","ling_distance_nonzero_mean","state",0.646393247220125,0.0441602111068344,0.0445684515873035,10,0.444444444444444,5,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__nonzero_mean_sensitivity_low","state_main","nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","state",0.648108750974097,0.046378130096635,0.04465772294096,10,0.555555555555556,4,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__nonzero_mean_sensitivity_high","state_main","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","state",-0.441992595694283,-0.0116476591430271,0.00739194265424492,10,0.555555555555556,4,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__nonzero_mean_hindi_urdu_separate","state_main","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","state",1.39199169078267,0.0590643399625681,0.05352745688408,10,0.555555555555556,4,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__glottolog_mean","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean","state",-0.0759934582294309,-0.0225187735389326,0.00259812760146616,10,0.444444444444444,5,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__glottolog_mean_shastry","state_main","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","state",-0.0676370324872005,-0.00555922060476441,0.00310182588302166,10,0.666666666666667,3,25,0.48,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__dyen_noncognate","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct","state",0.00833418994717077,0.0460461420686865,0.0126510548396837,10,0.444444444444444,5,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_main__dyen_noncognate_shastry","state_main","dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct","state",0.0079327204746173,0.0475928307654756,0.0121028789742479,10,0.333333333333333,6,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__nonzero_mean","state_expanded","nonzero_mean","ling_distance_nonzero_mean","state",1.26628087529185,0.0470136012678699,0.0564761894215453,10,0.555555555555556,4,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__distant_share","state_expanded","distant_share","ling_share_distance_ge3","state",0.023030715578955,-0.0975962018521347,0.0962492629500388,10,0.555555555555556,4,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__top3_legacy","state_expanded","top3_legacy","ling_distance_top3_legacy","state",0.436764465249773,0.00541097813572934,0.0237374849780585,10,0.444444444444444,5,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__nonzero_mean_hindi_urdu","state_expanded","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","state",1.26554526390676,0.0475986341551673,0.0565951929881379,10,0.555555555555556,4,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__nonzero_mean_shastry","state_expanded","nonzero_mean_shastry","ling_distance_nonzero_mean","state",1.05933998929987,0.0427225919986618,0.0468775135127341,10,0.555555555555556,4,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__nonzero_mean_sensitivity_low","state_expanded","nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","state",1.04876219748252,0.0406748488771721,0.0466554272194969,10,0.333333333333333,6,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__nonzero_mean_sensitivity_high","state_expanded","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","state",-0.148576013269656,-0.0130652224191771,0.0098230406878761,10,0.444444444444444,5,25,0.52,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__nonzero_mean_hindi_urdu_separate","state_expanded","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","state",1.83205102733841,0.0517037642663107,0.0622701665324037,10,0.555555555555556,4,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__glottolog_mean","state_expanded","glottolog_mean","ling_distance_glottolog_nonhindi_mean","state",0.012157713645463,-0.0325299621328822,0.00420186438256087,10,0.555555555555556,4,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__glottolog_mean_shastry","state_expanded","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","state",0.0112777896542216,-0.0149389491938836,0.00383109311234131,10,0.444444444444444,5,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"state_expanded__dyen_noncognate","state_expanded","dyen_noncognate","ling_distance_dyen_noncognate_pct","state",0.0167226453176848,0.0150360706272525,0.0219507042972906,10,0.555555555555556,4,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
