"specification_id","term","estimate","std.error","statistic","p.value","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"region_expanded__nonzero_mean_shastry","ling_distance_nonzero_mean",5.60292815103003,2.13660450658871,2.62235155535435,0.0089999580593582,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",5.61090183092784,2.12228286731941,2.64380489393235,0.00845652908085928,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",2.1840356636567,1.7346089252122,1.25909398476635,0.208586238073827,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",5.67912782466916,2.21813415289778,2.5603175611583,0.0107515366800498,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all","ling_share_distance_1",-0.00807536381696437,0.056549626973772,-0.142801363140906,0.886505051202394,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all","ling_share_distance_2",0.146359657269975,0.0726039767254866,2.01586282006779,0.0443530285152217,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all","ling_share_distance_3",-0.195152942135683,0.112194918666094,-1.73940980978366,0.0825830627313719,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all","ling_share_distance_4",0.505445315786239,0.0978580842658994,5.16508492454079,3.4869058691506e-07,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all","ling_share_distance_5",0.0255786432896609,0.121472850237911,0.210570866161152,0.833308624279942,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all_unmapped","ling_share_distance_1",-0.0030919227490298,0.0536083259254554,-0.0576761668202294,0.954029899845362,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all_unmapped","ling_share_distance_2",0.140212304165697,0.0624011429115996,2.24695089902966,0.0250838863721877,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all_unmapped","ling_share_distance_3",-0.184929709206323,0.113137830713807,-1.63455236890762,0.102779963212777,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all_unmapped","ling_share_distance_4",0.502643920533449,0.102462750070995,4.90562589999952,1.26633723771592e-06,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all_unmapped","ling_share_distance_5",0.041266133275138,0.134606056415785,0.306569662420469,0.759300119715408,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_1",0.00114487851879131,0.0557640718711187,0.0205307553838131,0.983628234286799,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_2",0.150787208770202,0.0688848403862124,2.18897522190358,0.0290640599386857,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_3",-0.083943444605612,0.0755223268314899,-1.11150500954389,0.266889513546162,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_4",0.435232072807079,0.0901895466499573,4.82574853709263,1.85965354245637e-06,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_5",0.139873376064691,0.114371245289878,1.22297676929352,0.221919218459674,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__glottolog_mean","ling_distance_glottolog_nonhindi_mean",-0.0486128243119656,0.548803973219964,-0.0885795779260535,0.929451505752649,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",-0.0591081105823897,0.553135163064266,-0.106860157388913,0.914942955563841,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__dyen_noncognate","ling_distance_dyen_noncognate_pct",-0.0369717588434214,0.129086394091668,-0.286410966109773,0.774682011055859,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",-0.0512624141661281,0.127939245472058,-0.400677790282294,0.688829203401931,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean","ling_distance_nonzero_mean",0.808973696979623,0.955853757587973,0.846336262799248,0.397788675551618,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__distant_share","ling_share_distance_ge3",0.0134963373609343,0.0407955312980281,0.330828817066704,0.740918760485866,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__top3_legacy","ling_distance_top3_legacy",0.266194636202708,0.828926115276863,0.321131921526924,0.748250780642718,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",0.810955865476353,0.948723959753489,0.854785901778076,0.393098793492234,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_shastry","ling_distance_nonzero_mean",0.646552850340008,0.923229328197023,0.700316628375165,0.48407173539968,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",0.648266697032766,0.908070938328185,0.713894333218356,0.475642417059664,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",-0.4416088059989,0.534648332836003,-0.82597995519114,0.409229259285048,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
