"state_key","district_key","target_unit_2001","n_candidate_targets","bridge_status","bridge_sources"
"rajasthan","churu","pc2001__08__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","dausa","pc2001__08__11",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","dhaulpur","pc2001__08__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","dungarpur","pc2001__08__27",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","ganganagar","pc2001__08__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","hanumangarh","pc2001__08__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","jaipur","pc2001__08__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","jaisalmer","pc2001__08__16",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","jalor","pc2001__08__18",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","jhalawar","pc2001__08__32",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","jhunjhunun","pc2001__08__05",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","jodhpur","pc2001__08__15",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","karauli","pc2001__08__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","kota","pc2001__08__30",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","nagaur","pc2001__08__14",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","pali","pc2001__08__20",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","pratapgarh raj",NA,0,"unresolved_no_deterministic_lineage",NA
"rajasthan","pratapgarh rajasthan",NA,0,"unresolved_no_deterministic_lineage",NA
"rajasthan","rajsamand","pc2001__08__25",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","saharanpur",NA,0,"unresolved_no_deterministic_lineage",NA
"rajasthan","sawai madhopur","pc2001__08__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","sikar","pc2001__08__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","sirohi","pc2001__08__19",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","tonk","pc2001__08__22",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","udaipur","pc2001__08__26",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"sikkim","east sikkim",NA,0,"unresolved_no_deterministic_lineage",NA
"sikkim","north sikkim",NA,0,"unresolved_no_deterministic_lineage",NA
"sikkim","south sikkim",NA,0,"unresolved_no_deterministic_lineage",NA
"sikkim","tawang",NA,0,"unresolved_no_deterministic_lineage",NA
"sikkim","west sikkim",NA,0,"unresolved_no_deterministic_lineage",NA
"state name","distname",NA,0,"unresolved_no_deterministic_lineage",NA
"statname","distname",NA,0,"unresolved_no_deterministic_lineage",NA
"tamil nadu","chennai","pc2001__33__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","coimbatore","pc2001__33__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","cuddalore","pc2001__33__18",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","dharmapuri","pc2001__33__05",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","dindigul","pc2001__33__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","erode","pc2001__33__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","kancheepuram","pc2001__33__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","kanniyakumari","pc2001__33__30",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","karur","pc2001__33__14",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","krishanagiri",NA,0,"unresolved_no_deterministic_lineage",NA
"tamil nadu","madurai","pc2001__33__24",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","nagapattinam","pc2001__33__19",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","namakkal","pc2001__33__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","perambalur","pc2001__33__16",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","pudukkottai","pc2001__33__22",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","ramanathapuram","pc2001__33__27",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","salem","pc2001__33__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","sivaganga","pc2001__33__23",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","thanjavur","pc2001__33__21",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","the nilgiris","pc2001__33__11",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","theni","pc2001__33__25",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","thiruvallur","pc2001__33__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","thiruvarur","pc2001__33__20",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","thoothukkudi","pc2001__33__28",1,"deterministic_to_2001","exact_census_2001_identity"
"tamil nadu","tiruchirappalli","pc2001__33__15",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","tirunelveli","pc2001__33__29",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","tiruvannamalai","pc2001__33__06",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","vellore","pc2001__33__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","viluppuram","pc2001__33__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","virudhunagar","pc2001__33__26",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tamil nadu","yanam",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","adilabad",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","hyderabad","pc2001__28__05",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"telangana","karimnagar",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","khammam",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","mahbubnagar",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","medak","pc2001__28__04",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"telangana","nalgonda",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","nizamabad",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","ranga reddy",NA,0,"unresolved_no_deterministic_lineage",NA
"telangana","warangal",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","dhalai","pc2001__16__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tripura","gomati",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","khowai",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","north",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","north tripura","pc2001__16__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tripura","sepahijala",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","south",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","south tripura","pc2001__16__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"tripura","unakoti",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","west",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","west garo hills",NA,0,"unresolved_no_deterministic_lineage",NA
"tripura","west tripura","pc2001__16__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","agra","pc2001__09__15",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","aligarh","pc2001__09__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","allahabad","pc2001__09__45",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","ambedkar nagar","pc2001__09__48",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","amethi csm nagar",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","auraiya","pc2001__09__32",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","azamgarh","pc2001__09__61",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","baghpat","pc2001__09__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","bahraich","pc2001__09__50",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
