"target_unit_2001","dise_source_district_count_0708","dise_emi_enrollment_share_total_0708","dise_hindi_enrollment_share_total_0708","dise_english_share_english_hindi_0708","dise_private_enrollment_share_0708","dise_private_school_share_0708","dise_emi_gross_enrollment_ratio_age_6_13_0708","dise_elementary_gross_enrollment_ratio_age_6_13_0708","dise_english_identity_resolved_0708","dise_hindi_identity_resolved_0708","dise_baseline_years_observed","dise_emi_enrollment_share_total_0508_pooled","dise_age_6_13_baseline_years_observed","dise_emi_gross_enrollment_ratio_age_6_13_0508_pooled"
"pc2001__25__02",1,36.6194865042791,0,100,14.6560236998025,3.33333333333333,25.8107692443107,70.4837006419919,TRUE,TRUE,3,37.6225071919645,3,30.9190409729101
"pc2001__26__01",1,19.7413396765747,3.25624162952006,85.8409387222947,13.8205369100686,6.25,19.7275783794315,99.9302919793255,TRUE,TRUE,1,NA,1,NA
"pc2001__27__01",1,1.85751181890489,0,100,41.1865376194179,19.1449814126394,1.37065479903115,73.7898292264559,TRUE,TRUE,3,2.05260207694123,3,1.5503031544226
"pc2001__27__02",1,3.10705011559159,0.0424159613529073,98.6532332682225,57.7397796960297,33.2531569452796,2.81706343255439,90.666816683065,TRUE,TRUE,3,2.83540497257951,3,2.59290330756049
"pc2001__27__04",1,3.65099916939464,0.272633996188987,93.0514911898387,35.8415986710314,25.5182625863771,3.61030352907982,98.8853560785235,TRUE,TRUE,3,3.18908454189771,3,3.144570741127
"pc2001__27__05",1,8.2860190879866,2.38349239988831,77.6607166823245,46.3728529594971,33.961038961039,8.26888019969499,99.7931589571589,TRUE,TRUE,3,7.86838017430618,3,7.80807948113631
"pc2001__27__06",1,1.67588601938892,0.593319080100904,73.8534396809571,35.1466612368638,26.4680105170903,1.50433138337702,89.7633470279524,TRUE,TRUE,3,1.60625811174492,3,1.53368230366821
"pc2001__27__07",1,4.65633055835312,1.54394847961267,75.0987258773564,44.33862458306,29.4024535021765,4.67728926118776,100.450112004979,TRUE,TRUE,3,4.24337002275816,3,4.22379759496052
"pc2001__27__08",1,6.49465690201875,1.87318746544195,77.6144562065943,49.2321059817872,24.6802106847254,6.44798019838579,99.2813060899575,TRUE,TRUE,3,6.34174899377973,3,6.37034257847511
"pc2001__27__09",1,15.4807893939747,13.859595983131,52.7627336689802,67.0265694292349,43.4162621359223,15.6362235709306,101.004045549618,TRUE,TRUE,3,14.5493565482608,3,14.9290731216541
