"beta","statistic","p.value","accepted","acceptance_component","specification_id","construct_id","treatment","analysis_scope"
-0.063758450752328,13.3402009251521,0.000286197020491604,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0632790639045661,13.3397060743806,0.00028627064346654,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0627996770568042,13.3391845446579,0.000286348256424803,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0623202902090424,13.3386352234386,0.000286430028276126,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0618409033612805,13.3380569465374,0.000286516135990815,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0613615165135186,13.3374484953743,0.000286606765047443,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0608821296657568,13.3368085940537,0.000286702109909252,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0604027428179949,13.3361359062621,0.000286802374531668,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.059923355970233,13.3354290319747,0.000286907772902845,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0594439691224712,13.3346865039569,0.000287018529620017,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0589645822747093,13.3339067840444,0.000287134880504351,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0584851954269474,13.3330882591887,0.000287257073257075,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0580058085791856,13.3322292372501,0.000287385368160028,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0575264217314237,13.3313279425183,0.000287520038824682,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0570470348836619,13.3303825109438,0.000287661372992553,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0565676480359,13.3293909850571,0.000287809673391692,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0560882611881381,13.328351308551,0.000287965258653829,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0556088743403763,13.3272613205063,0.000288128464296314,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0551294874926144,13.3261187492249,0.000288299643775513,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0546501006448525,13.3249212056503,0.000288479169616105,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0541707137970907,13.3236661763383,0.000288667434623512,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0536913269493288,13.3223510159417,0.000288864853186554,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0532119401015669,13.3209729391777,0.000289071862677296,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0527325532538051,13.3195290122289,0.000289288924957488,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0522531664060432,13.318016143541,0.000289516527999814,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0517737795582813,13.3164310739617,0.000289755187635197,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0512943927105195,13.3147703661743,0.00029000544943634,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0508150058627576,13.3130303933618,0.000290267890750795,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0503356190149958,13.3112073270444,0.000290543122896372,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0498562321672339,13.3092971240163,0.0002908317935346,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.049376845319472,13.3072955123124,0.0002911345892381,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
