"academic_year","target_unit_2001","dise_report_school_quality_source_districts","dise_report_school_quality_status","dise_report_pupils_per_teacher","dise_report_single_teacher_school_share","dise_report_girls_toilet_school_share","girls_toilet_definition","source_pdf","source_page"
"2011-12","pc2001__03__04",1,"one_to_one_report_ratio",19,4.9,99.8,"all_schools","DistrictReportCards2011-12II.pdf",104
"2011-12","pc2001__03__05",1,"one_to_one_report_ratio",16,7.7,99,"all_schools","DistrictReportCards2011-12II.pdf",103
"2011-12","pc2001__03__06",1,"one_to_one_report_ratio",17,4.8,99.7,"all_schools","DistrictReportCards2011-12II.pdf",111
"2011-12","pc2001__03__07",1,"one_to_one_report_ratio",16,6.1,85.7,"all_schools","DistrictReportCards2011-12II.pdf",114
"2011-12","pc2001__03__08",1,"one_to_one_report_ratio",16,14.7,100,"all_schools","DistrictReportCards2011-12II.pdf",99
"2011-12","pc2001__03__09",1,"one_to_one_report_ratio",22,4.2,99.4,"all_schools","DistrictReportCards2011-12II.pdf",106
"2011-12","pc2001__03__10",1,"one_to_one_report_ratio",21,2.9,99.8,"all_schools","DistrictReportCards2011-12II.pdf",108
"2011-12","pc2001__03__11",1,"one_to_one_report_ratio",23,16.5,98.9,"all_schools","DistrictReportCards2011-12II.pdf",101
"2011-12","pc2001__03__12",1,"one_to_one_report_ratio",20,4,99.7,"all_schools","DistrictReportCards2011-12II.pdf",110
"2011-12","pc2001__03__13",1,"one_to_one_report_ratio",19,2,98.5,"all_schools","DistrictReportCards2011-12II.pdf",98
"2011-12","pc2001__03__14",1,"one_to_one_report_ratio",19,2.9,98.5,"all_schools","DistrictReportCards2011-12II.pdf",97
"2011-12","pc2001__03__15",1,"one_to_one_report_ratio",22,6.2,99.6,"all_schools","DistrictReportCards2011-12II.pdf",107
"2011-12","pc2001__03__16",1,"one_to_one_report_ratio",20,5.4,99.2,"all_schools","DistrictReportCards2011-12II.pdf",115
"2011-12","pc2001__03__17",1,"one_to_one_report_ratio",19,10.6,99.6,"all_schools","DistrictReportCards2011-12II.pdf",113
"2011-12","pc2001__04__01",1,"one_to_one_report_ratio",29,0,100,"all_schools","DistrictReportCards2011-12I.pdf",133
"2011-12","pc2001__05__01",1,"one_to_one_report_ratio",15,16.1,87.5,"all_schools","DistrictReportCards2011-12II.pdf",272
"2011-12","pc2001__05__02",1,"one_to_one_report_ratio",16,22.4,96.3,"all_schools","DistrictReportCards2011-12II.pdf",262
"2011-12","pc2001__05__03",1,"one_to_one_report_ratio",19,30.5,97.7,"all_schools","DistrictReportCards2011-12II.pdf",269
"2011-12","pc2001__05__04",1,"one_to_one_report_ratio",18,17.6,94.8,"all_schools","DistrictReportCards2011-12II.pdf",270
"2011-12","pc2001__05__05",1,"one_to_one_report_ratio",29,14.6,97.7,"all_schools","DistrictReportCards2011-12II.pdf",264
"2011-12","pc2001__05__06",1,"one_to_one_report_ratio",16,15.3,89.2,"all_schools","DistrictReportCards2011-12II.pdf",265
"2011-12","pc2001__05__07",1,"one_to_one_report_ratio",16,26,91.4,"all_schools","DistrictReportCards2011-12II.pdf",268
"2011-12","pc2001__05__08",1,"one_to_one_report_ratio",23,43,97.2,"all_schools","DistrictReportCards2011-12II.pdf",261
"2011-12","pc2001__05__09",1,"one_to_one_report_ratio",19,23.2,94.5,"all_schools","DistrictReportCards2011-12II.pdf",260
"2011-12","pc2001__05__10",1,"one_to_one_report_ratio",18,25.9,97,"all_schools","DistrictReportCards2011-12II.pdf",263
"2011-12","pc2001__05__11",1,"one_to_one_report_ratio",17,1.9,92.2,"all_schools","DistrictReportCards2011-12II.pdf",267
"2011-12","pc2001__05__12",1,"one_to_one_report_ratio",28,2.7,97.6,"all_schools","DistrictReportCards2011-12II.pdf",271
"2011-12","pc2001__05__13",1,"one_to_one_report_ratio",36,10,94,"all_schools","DistrictReportCards2011-12II.pdf",266
"2011-12","pc2001__06__01",1,"one_to_one_report_ratio",25,3,95.1,"all_schools","DistrictReportCards2011-12I.pdf",204
"2011-12","pc2001__06__02",1,"one_to_one_report_ratio",23,2,97,"all_schools","DistrictReportCards2011-12I.pdf",190
"2011-12","pc2001__06__03",1,"one_to_one_report_ratio",26,6.4,95.5,"all_schools","DistrictReportCards2011-12I.pdf",210
"2011-12","pc2001__06__04",1,"one_to_one_report_ratio",22,3.3,96.5,"all_schools","DistrictReportCards2011-12I.pdf",200
"2011-12","pc2001__06__05",1,"one_to_one_report_ratio",23,1.2,94.6,"all_schools","DistrictReportCards2011-12I.pdf",198
"2011-12","pc2001__06__06",1,"one_to_one_report_ratio",26,2.2,98.2,"all_schools","DistrictReportCards2011-12I.pdf",199
"2011-12","pc2001__06__07",1,"one_to_one_report_ratio",27,0.3,98.5,"all_schools","DistrictReportCards2011-12I.pdf",205
"2011-12","pc2001__06__08",1,"one_to_one_report_ratio",25,0.8,98.1,"all_schools","DistrictReportCards2011-12I.pdf",209
"2011-12","pc2001__06__09",1,"one_to_one_report_ratio",25,0,97.5,"all_schools","DistrictReportCards2011-12I.pdf",197
"2011-12","pc2001__06__10",1,"one_to_one_report_ratio",25,0.1,98.1,"all_schools","DistrictReportCards2011-12I.pdf",193
"2011-12","pc2001__06__11",1,"one_to_one_report_ratio",27,1.5,98,"all_schools","DistrictReportCards2011-12I.pdf",208
"2011-12","pc2001__06__12",1,"one_to_one_report_ratio",21,0.1,99,"all_schools","DistrictReportCards2011-12I.pdf",195
"2011-12","pc2001__06__13",1,"one_to_one_report_ratio",22,1.1,93.6,"all_schools","DistrictReportCards2011-12I.pdf",191
"2011-12","pc2001__06__14",1,"one_to_one_report_ratio",25,0.9,97.7,"all_schools","DistrictReportCards2011-12I.pdf",207
"2011-12","pc2001__06__15",1,"one_to_one_report_ratio",20,1.1,94.7,"all_schools","DistrictReportCards2011-12I.pdf",196
"2011-12","pc2001__06__16",1,"one_to_one_report_ratio",22,1.1,98.8,"all_schools","DistrictReportCards2011-12I.pdf",201
"2011-12","pc2001__06__17",1,"one_to_one_report_ratio",22,2.4,97.6,"all_schools","DistrictReportCards2011-12I.pdf",206
"2011-12","pc2001__06__18",1,"one_to_one_report_ratio",31,2.6,98.8,"all_schools","DistrictReportCards2011-12I.pdf",194
"2011-12","pc2001__06__19",1,"one_to_one_report_ratio",36,0,99,"all_schools","DistrictReportCards2011-12I.pdf",192
"2011-12","pc2001__07__05",1,"one_to_one_report_ratio",26,0,100,"all_schools","DistrictReportCards2011-12I.pdf",155
"2011-12","pc2001__08__01",1,"one_to_one_report_ratio",23,15.8,98.1,"all_schools","DistrictReportCards2011-12II.pdf",131
"2011-12","pc2001__08__02",1,"one_to_one_report_ratio",22,3.7,98,"all_schools","DistrictReportCards2011-12II.pdf",132
"2011-12","pc2001__08__03",1,"one_to_one_report_ratio",29,19.9,97.6,"all_schools","DistrictReportCards2011-12II.pdf",124
"2011-12","pc2001__08__04",1,"one_to_one_report_ratio",27,9.2,92.7,"all_schools","DistrictReportCards2011-12II.pdf",127
"2011-12","pc2001__08__05",1,"one_to_one_report_ratio",21,3.3,95.1,"all_schools","DistrictReportCards2011-12II.pdf",137
"2011-12","pc2001__08__06",1,"one_to_one_report_ratio",25,8,95.3,"all_schools","DistrictReportCards2011-12II.pdf",118
"2011-12","pc2001__08__07",1,"one_to_one_report_ratio",26,5.2,93.7,"all_schools","DistrictReportCards2011-12II.pdf",122
"2011-12","pc2001__08__08",1,"one_to_one_report_ratio",33,16.2,95.2,"all_schools","DistrictReportCards2011-12II.pdf",129
"2011-12","pc2001__08__09",1,"one_to_one_report_ratio",31,7.8,89.2,"all_schools","DistrictReportCards2011-12II.pdf",139
"2011-12","pc2001__08__10",1,"one_to_one_report_ratio",24,6.1,94.8,"all_schools","DistrictReportCards2011-12II.pdf",145
"2011-12","pc2001__08__11",1,"one_to_one_report_ratio",29,8.6,97,"all_schools","DistrictReportCards2011-12II.pdf",128
"2011-12","pc2001__08__12",1,"one_to_one_report_ratio",23,6.4,96.8,"all_schools","DistrictReportCards2011-12II.pdf",133
"2011-12","pc2001__08__13",1,"one_to_one_report_ratio",23,6.6,97.1,"all_schools","DistrictReportCards2011-12II.pdf",146
"2011-12","pc2001__08__14",1,"one_to_one_report_ratio",26,13.8,97.1,"all_schools","DistrictReportCards2011-12II.pdf",141
"2011-12","pc2001__08__15",1,"one_to_one_report_ratio",29,18.9,96.9,"all_schools","DistrictReportCards2011-12II.pdf",138
"2011-12","pc2001__08__16",1,"one_to_one_report_ratio",30,41.1,94,"all_schools","DistrictReportCards2011-12II.pdf",134
"2011-12","pc2001__08__17",1,"one_to_one_report_ratio",37,38.3,97,"all_schools","DistrictReportCards2011-12II.pdf",121
"2011-12","pc2001__08__18",1,"one_to_one_report_ratio",34,23.1,93.2,"all_schools","DistrictReportCards2011-12II.pdf",135
"2011-12","pc2001__08__19",1,"one_to_one_report_ratio",31,10.5,88.7,"all_schools","DistrictReportCards2011-12II.pdf",147
"2011-12","pc2001__08__20",1,"one_to_one_report_ratio",25,9.7,92.3,"all_schools","DistrictReportCards2011-12II.pdf",142
"2011-12","pc2001__08__21",1,"one_to_one_report_ratio",27,5,99,"all_schools","DistrictReportCards2011-12II.pdf",117
"2011-12","pc2001__08__22",1,"one_to_one_report_ratio",20,8.8,92,"all_schools","DistrictReportCards2011-12II.pdf",148
"2011-12","pc2001__08__23",1,"one_to_one_report_ratio",23,19.7,94.7,"all_schools","DistrictReportCards2011-12II.pdf",125
"2011-12","pc2001__08__24",1,"one_to_one_report_ratio",27,19.3,95.8,"all_schools","DistrictReportCards2011-12II.pdf",123
"2011-12","pc2001__08__25",1,"one_to_one_report_ratio",27,23.5,99.3,"all_schools","DistrictReportCards2011-12II.pdf",144
"2011-12","pc2001__08__26",1,"one_to_one_report_ratio",28,24.9,96.2,"all_schools","DistrictReportCards2011-12II.pdf",149
"2011-12","pc2001__08__27",1,"one_to_one_report_ratio",27,18.6,96.3,"all_schools","DistrictReportCards2011-12II.pdf",130
"2011-12","pc2001__08__28",1,"one_to_one_report_ratio",28,19.8,92.9,"all_schools","DistrictReportCards2011-12II.pdf",119
"2011-12","pc2001__08__29",1,"one_to_one_report_ratio",23,17.2,94.7,"all_schools","DistrictReportCards2011-12II.pdf",126
"2011-12","pc2001__08__30",1,"one_to_one_report_ratio",23,4.8,98.1,"all_schools","DistrictReportCards2011-12II.pdf",140
"2011-12","pc2001__08__31",1,"one_to_one_report_ratio",24,17.8,85.6,"all_schools","DistrictReportCards2011-12II.pdf",120
"2011-12","pc2001__08__32",1,"one_to_one_report_ratio",27,18.2,98.2,"all_schools","DistrictReportCards2011-12II.pdf",136
"2011-12","pc2001__09__01",1,"one_to_one_report_ratio",30,1.9,98.8,"all_schools","DistrictReportCards2011-12II.pdf",250
"2011-12","pc2001__09__02",1,"one_to_one_report_ratio",46,4.7,92.4,"all_schools","DistrictReportCards2011-12II.pdf",245
"2011-12","pc2001__09__03",1,"one_to_one_report_ratio",49,3.9,84.5,"all_schools","DistrictReportCards2011-12II.pdf",203
"2011-12","pc2001__09__04",1,"one_to_one_report_ratio",42,6.3,99.1,"all_schools","DistrictReportCards2011-12II.pdf",244
"2011-12","pc2001__09__05",1,"one_to_one_report_ratio",71,15.4,93.8,"all_schools","DistrictReportCards2011-12II.pdf",249
"2011-12","pc2001__09__06",1,"one_to_one_report_ratio",38,3.5,97.2,"all_schools","DistrictReportCards2011-12II.pdf",227
"2011-12","pc2001__09__07",1,"one_to_one_report_ratio",43,15.8,96.1,"all_schools","DistrictReportCards2011-12II.pdf",242
"2011-12","pc2001__09__08",1,"one_to_one_report_ratio",55,0,97.3,"all_schools","DistrictReportCards2011-12II.pdf",194
"2011-12","pc2001__09__09",1,"one_to_one_report_ratio",47,3.2,96.5,"all_schools","DistrictReportCards2011-12II.pdf",217
"2011-12","pc2001__09__10",1,"one_to_one_report_ratio",36,11.2,94,"all_schools","DistrictReportCards2011-12II.pdf",216
"2011-12","pc2001__09__11",1,"one_to_one_report_ratio",32,6.6,99.9,"all_schools","DistrictReportCards2011-12II.pdf",205
"2011-12","pc2001__09__12",1,"one_to_one_report_ratio",37,2.9,96,"all_schools","DistrictReportCards2011-12II.pdf",189
"2011-12","pc2001__09__13",1,"one_to_one_report_ratio",62,4.5,100,"all_schools","DistrictReportCards2011-12II.pdf",223
"2011-12","pc2001__09__14",1,"one_to_one_report_ratio",39,3.5,96.4,"all_schools","DistrictReportCards2011-12II.pdf",240
"2011-12","pc2001__09__15",1,"one_to_one_report_ratio",44,5.8,93.5,"all_schools","DistrictReportCards2011-12II.pdf",188
"2011-12","pc2001__09__16",1,"one_to_one_report_ratio",45,10.3,94.1,"all_schools","DistrictReportCards2011-12II.pdf",215
"2011-12","pc2001__09__17",1,"one_to_one_report_ratio",37,6,70.9,"all_schools","DistrictReportCards2011-12II.pdf",210
"2011-12","pc2001__09__18",1,"one_to_one_report_ratio",30,3.5,86.7,"all_schools","DistrictReportCards2011-12II.pdf",239
"2011-12","pc2001__09__19",1,"one_to_one_report_ratio",40,4.8,99.2,"all_schools","DistrictReportCards2011-12II.pdf",204
"2011-12","pc2001__09__20",1,"one_to_one_report_ratio",45,7,99.4,"all_schools","DistrictReportCards2011-12II.pdf",200
"2011-12","pc2001__09__21",1,"one_to_one_report_ratio",52,12,98.9,"all_schools","DistrictReportCards2011-12II.pdf",246
"2011-12","pc2001__09__22",1,"one_to_one_report_ratio",53,19.3,90.1,"all_schools","DistrictReportCards2011-12II.pdf",252
"2011-12","pc2001__09__23",1,"one_to_one_report_ratio",61,16.5,100,"all_schools","DistrictReportCards2011-12II.pdf",233
"2011-12","pc2001__09__24",1,"one_to_one_report_ratio",60,10.5,100,"all_schools","DistrictReportCards2011-12II.pdf",255
"2011-12","pc2001__09__25",1,"one_to_one_report_ratio",48,9.2,75.5,"all_schools","DistrictReportCards2011-12II.pdf",222
"2011-12","pc2001__09__26",1,"one_to_one_report_ratio",31,2.8,98.5,"all_schools","DistrictReportCards2011-12II.pdf",258
"2011-12","pc2001__09__27",1,"one_to_one_report_ratio",79,29.8,68.7,"all_schools","DistrictReportCards2011-12II.pdf",236
"2011-12","pc2001__09__28",1,"one_to_one_report_ratio",35,2.5,56.1,"all_schools","DistrictReportCards2011-12II.pdf",248
"2011-12","pc2001__09__29",1,"one_to_one_report_ratio",38,7,99.4,"all_schools","DistrictReportCards2011-12II.pdf",213
"2011-12","pc2001__09__30",1,"one_to_one_report_ratio",62,8.9,88.6,"all_schools","DistrictReportCards2011-12II.pdf",228
"2011-12","pc2001__09__31",1,"one_to_one_report_ratio",37,8.3,86.1,"all_schools","DistrictReportCards2011-12II.pdf",211
"2011-12","pc2001__09__32",1,"one_to_one_report_ratio",29,1.7,99.9,"all_schools","DistrictReportCards2011-12II.pdf",192
"2011-12","pc2001__09__33",1,"one_to_one_report_ratio",28,9.4,80.3,"all_schools","DistrictReportCards2011-12II.pdf",229
"2011-12","pc2001__09__34",1,"one_to_one_report_ratio",41,6.4,96.4,"all_schools","DistrictReportCards2011-12II.pdf",230
"2011-12","pc2001__09__35",1,"one_to_one_report_ratio",45,20.7,73.7,"all_schools","DistrictReportCards2011-12II.pdf",224
"2011-12","pc2001__09__36",1,"one_to_one_report_ratio",43,4.8,99.7,"all_schools","DistrictReportCards2011-12II.pdf",226
"2011-12","pc2001__09__37",1,"one_to_one_report_ratio",41,8.1,98.4,"all_schools","DistrictReportCards2011-12II.pdf",235
"2011-12","pc2001__09__39",1,"one_to_one_report_ratio",45,6.2,99.6,"all_schools","DistrictReportCards2011-12II.pdf",238
"2011-12","pc2001__09__40",1,"one_to_one_report_ratio",42,9.4,94.9,"all_schools","DistrictReportCards2011-12II.pdf",198
"2011-12","pc2001__09__41",1,"one_to_one_report_ratio",41,11.2,79.2,"all_schools","DistrictReportCards2011-12II.pdf",207
"2011-12","pc2001__09__42",1,"one_to_one_report_ratio",32,3.8,89.7,"all_schools","DistrictReportCards2011-12II.pdf",214
"2011-12","pc2001__09__43",1,"one_to_one_report_ratio",49,15.9,99.1,"all_schools","DistrictReportCards2011-12II.pdf",247
"2011-12","pc2001__09__44",1,"one_to_one_report_ratio",42,3,94.8,"all_schools","DistrictReportCards2011-12II.pdf",232
"2011-12","pc2001__09__45",1,"one_to_one_report_ratio",54,6,95.6,"all_schools","DistrictReportCards2011-12II.pdf",190
"2011-12","pc2001__09__46",1,"one_to_one_report_ratio",36,1.9,86.7,"all_schools","DistrictReportCards2011-12II.pdf",199
"2011-12","pc2001__09__47",1,"one_to_one_report_ratio",36,3.2,99.5,"all_schools","DistrictReportCards2011-12II.pdf",212
"2011-12","pc2001__09__48",1,"one_to_one_report_ratio",49,2.9,95,"all_schools","DistrictReportCards2011-12II.pdf",191
"2011-12","pc2001__09__49",1,"one_to_one_report_ratio",39,2.5,74.3,"all_schools","DistrictReportCards2011-12II.pdf",257
"2011-12","pc2001__09__50",1,"one_to_one_report_ratio",53,18.6,88.7,"all_schools","DistrictReportCards2011-12II.pdf",195
"2011-12","pc2001__09__51",1,"one_to_one_report_ratio",41,11.7,98.3,"all_schools","DistrictReportCards2011-12II.pdf",253
"2011-12","pc2001__09__52",1,"one_to_one_report_ratio",62,25.8,95,"all_schools","DistrictReportCards2011-12II.pdf",197
"2011-12","pc2001__09__53",1,"one_to_one_report_ratio",41,12.2,99.6,"all_schools","DistrictReportCards2011-12II.pdf",219
"2011-12","pc2001__09__54",1,"one_to_one_report_ratio",50,14.6,88.9,"all_schools","DistrictReportCards2011-12II.pdf",254
"2011-12","pc2001__09__55",1,"one_to_one_report_ratio",48,9.3,57.8,"all_schools","DistrictReportCards2011-12II.pdf",201
"2011-12","pc2001__09__56",1,"one_to_one_report_ratio",62,16.3,89.4,"all_schools","DistrictReportCards2011-12II.pdf",251
"2011-12","pc2001__09__57",1,"one_to_one_report_ratio",61,14.7,72.7,"all_schools","DistrictReportCards2011-12II.pdf",237
"2011-12","pc2001__09__58",1,"one_to_one_report_ratio",33,6.2,83.1,"all_schools","DistrictReportCards2011-12II.pdf",220
"2011-12","pc2001__09__59",1,"one_to_one_report_ratio",53,13.9,87.6,"all_schools","DistrictReportCards2011-12II.pdf",234
"2011-12","pc2001__09__60",1,"one_to_one_report_ratio",35,3.2,55,"all_schools","DistrictReportCards2011-12II.pdf",209
"2011-12","pc2001__09__61",1,"one_to_one_report_ratio",41,7.7,91.9,"all_schools","DistrictReportCards2011-12II.pdf",193
"2011-12","pc2001__09__62",1,"one_to_one_report_ratio",41,11.1,87.5,"all_schools","DistrictReportCards2011-12II.pdf",241
"2011-12","pc2001__09__63",1,"one_to_one_report_ratio",35,0.9,95.1,"all_schools","DistrictReportCards2011-12II.pdf",196
"2011-12","pc2001__09__64",1,"one_to_one_report_ratio",52,16,46.2,"all_schools","DistrictReportCards2011-12II.pdf",225
"2011-12","pc2001__09__65",1,"one_to_one_report_ratio",58,23.2,98.5,"all_schools","DistrictReportCards2011-12II.pdf",218
"2011-12","pc2001__09__66",1,"one_to_one_report_ratio",55,6.2,99.7,"all_schools","DistrictReportCards2011-12II.pdf",206
"2011-12","pc2001__09__67",1,"one_to_one_report_ratio",39,2.2,96.8,"all_schools","DistrictReportCards2011-12II.pdf",259
"2011-12","pc2001__09__69",1,"one_to_one_report_ratio",48,12.3,98.6,"all_schools","DistrictReportCards2011-12II.pdf",243
"2011-12","pc2001__09__70",1,"one_to_one_report_ratio",46,17.6,94.2,"all_schools","DistrictReportCards2011-12II.pdf",256
"2011-12","pc2001__10__01",1,"one_to_one_report_ratio",50,0.9,68.4,"all_schools","DistrictReportCards2011-12I.pdf",119
"2011-12","pc2001__10__02",1,"one_to_one_report_ratio",59,1,69.1,"all_schools","DistrictReportCards2011-12I.pdf",121
"2011-12","pc2001__10__03",1,"one_to_one_report_ratio",61,2.6,60.7,"all_schools","DistrictReportCards2011-12I.pdf",128
"2011-12","pc2001__10__04",1,"one_to_one_report_ratio",61,5.4,77.5,"all_schools","DistrictReportCards2011-12I.pdf",129
"2011-12","pc2001__10__05",1,"one_to_one_report_ratio",54,2.7,63.7,"all_schools","DistrictReportCards2011-12I.pdf",114
"2011-12","pc2001__10__06",1,"one_to_one_report_ratio",63,6.2,69.2,"all_schools","DistrictReportCards2011-12I.pdf",131
"2011-12","pc2001__10__07",1,"one_to_one_report_ratio",60,3.1,46.4,"all_schools","DistrictReportCards2011-12I.pdf",95
"2011-12","pc2001__10__08",1,"one_to_one_report_ratio",51,7.1,63.7,"all_schools","DistrictReportCards2011-12I.pdf",111
"2011-12","pc2001__10__09",1,"one_to_one_report_ratio",62,6.4,63.5,"all_schools","DistrictReportCards2011-12I.pdf",122
"2011-12","pc2001__10__10",1,"one_to_one_report_ratio",54,0.4,79,"all_schools","DistrictReportCards2011-12I.pdf",109
"2011-12","pc2001__10__11",1,"one_to_one_report_ratio",63,3.1,61.1,"all_schools","DistrictReportCards2011-12I.pdf",113
"2011-12","pc2001__10__12",1,"one_to_one_report_ratio",56,3.3,55.2,"all_schools","DistrictReportCards2011-12I.pdf",124
"2011-12","pc2001__10__13",1,"one_to_one_report_ratio",58,3.5,66.1,"all_schools","DistrictReportCards2011-12I.pdf",103
"2011-12","pc2001__10__14",1,"one_to_one_report_ratio",55,1.7,82.7,"all_schools","DistrictReportCards2011-12I.pdf",116
"2011-12","pc2001__10__15",1,"one_to_one_report_ratio",48,1.8,77.1,"all_schools","DistrictReportCards2011-12I.pdf",105
"2011-12","pc2001__10__16",1,"one_to_one_report_ratio",50,1.3,66.4,"all_schools","DistrictReportCards2011-12I.pdf",130
"2011-12","pc2001__10__17",1,"one_to_one_report_ratio",56,2.9,64.8,"all_schools","DistrictReportCards2011-12I.pdf",126
"2011-12","pc2001__10__18",1,"one_to_one_report_ratio",55,2.9,83.8,"all_schools","DistrictReportCards2011-12I.pdf",132
"2011-12","pc2001__10__19",1,"one_to_one_report_ratio",63,1.3,54.5,"all_schools","DistrictReportCards2011-12I.pdf",125
"2011-12","pc2001__10__20",1,"one_to_one_report_ratio",57,1,75.3,"all_schools","DistrictReportCards2011-12I.pdf",99
"2011-12","pc2001__10__21",1,"one_to_one_report_ratio",64,2.4,74,"all_schools","DistrictReportCards2011-12I.pdf",110
"2011-12","pc2001__10__22",1,"one_to_one_report_ratio",56,1.2,70.9,"all_schools","DistrictReportCards2011-12I.pdf",100
"2011-12","pc2001__10__23",1,"one_to_one_report_ratio",68,4.3,77.5,"all_schools","DistrictReportCards2011-12I.pdf",98
"2011-12","pc2001__10__24",1,"one_to_one_report_ratio",66,8.6,63.3,"all_schools","DistrictReportCards2011-12I.pdf",115
"2011-12","pc2001__10__25",1,"one_to_one_report_ratio",50,4.4,70.5,"all_schools","DistrictReportCards2011-12I.pdf",112
"2011-12","pc2001__10__26",1,"one_to_one_report_ratio",64,7.7,85.2,"all_schools","DistrictReportCards2011-12I.pdf",127
"2011-12","pc2001__10__27",1,"one_to_one_report_ratio",65,5.2,82.8,"all_schools","DistrictReportCards2011-12I.pdf",117
"2011-12","pc2001__10__28",1,"one_to_one_report_ratio",63,7,81.6,"all_schools","DistrictReportCards2011-12I.pdf",120
"2011-12","pc2001__10__29",1,"one_to_one_report_ratio",61,3.3,89,"all_schools","DistrictReportCards2011-12I.pdf",101
"2011-12","pc2001__10__30",1,"one_to_one_report_ratio",64,3.8,92.5,"all_schools","DistrictReportCards2011-12I.pdf",102
"2011-12","pc2001__10__31",1,"one_to_one_report_ratio",64,5.1,63.6,"all_schools","DistrictReportCards2011-12I.pdf",108
"2011-12","pc2001__10__32",1,"one_to_one_report_ratio",58,2.3,81.8,"all_schools","DistrictReportCards2011-12I.pdf",123
"2011-12","pc2001__10__33",1,"one_to_one_report_ratio",53,2.6,85.9,"all_schools","DistrictReportCards2011-12I.pdf",107
"2011-12","pc2001__10__35",1,"one_to_one_report_ratio",77,7.4,81,"all_schools","DistrictReportCards2011-12I.pdf",104
"2011-12","pc2001__10__36",1,"one_to_one_report_ratio",65,3.2,71.6,"all_schools","DistrictReportCards2011-12I.pdf",118
"2011-12","pc2001__10__37",1,"one_to_one_report_ratio",62,6.3,51.3,"all_schools","DistrictReportCards2011-12I.pdf",106
