"academic_year","district_code_dise","state_code_dise","state_name_dise","district_name_dise","dise_government_enrollment","dise_private_enrollment","dise_management_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_management_enrollment_difference","dise_private_enrollment_share","dise_medium_slot_1_enrollment","dise_medium_slot_2_enrollment","dise_medium_slot_3_enrollment","dise_medium_slot_4_enrollment","dise_medium_slot_5_enrollment","dise_medium_classified_enrollment","dise_medium_classification_ratio","dise_medium_classification_difference","dise_government_schools","dise_private_schools","dise_total_schools","dise_single_teacher_schools","dise_girls_toilet_schools","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","state_key","district_key","dise_medium_identity_complete","dise_english_enrollment","dise_hindi_enrollment","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_total_teachers","dise_pupils_per_teacher"
"2007-08","2347","23","MADHYA PRADESH","ANUPPUR",115700,39134,154834,154834,NA,154834,"grade_i_viii_sum",NA,1,0,25.2748104421509,151116,3196,16,0,0,154328,99.6731983931178,-506,1499,295,1794,192,660,16.4437012263099,10.7023411371237,36.7892976588629,"madhya pradesh","anuppur",TRUE,3196,151116,TRUE,TRUE,2.06414611777775,97.5987186276916,2.07112862253098,5173,29.931181132805
"2007-08","2348","23","MADHYA PRADESH","BURHANPUR",101423,28762,130185,130185,NA,130185,"grade_i_viii_sum",NA,1,0,22.0931750969774,91502,15857,15034,7792,0,130185,100,0,712,129,841,154,245,15.3388822829964,18.3115338882283,29.1319857312723,"madhya pradesh","burhanpur",TRUE,7792,91502,TRUE,TRUE,5.9853285708799,70.2861312747244,7.84740266279936,3250,40.0569230769231
"2007-08","2706","27","MAHARASHTRA","WASHIM",114662,62140,176802,176802,NA,176802,"grade_i_viii_sum",NA,1,0,35.1466612368638,155916,15686,2963,1049,267,175881,99.4790782909696,-921,839,302,1141,28,565,26.4680105170903,2.45398773006135,49.5179666958808,"maharashtra","washim",TRUE,2963,1049,TRUE,TRUE,1.67588601938892,0.593319080100904,73.8534396809571,6253,28.274748120902
"2007-08","2707","27","MAHARASHTRA","AMRAVATI",240967,191949,432916,432916,NA,432916,"grade_i_viii_sum",NA,1,0,44.33862458306,342988,59287,20158,6684,330,429447,99.1986898151142,-3469,1784,743,2527,70,1492,29.4024535021765,2.77008310249307,59.0423426988524,"maharashtra","amravati",TRUE,20158,6684,TRUE,TRUE,4.65633055835312,1.54394847961267,75.0987258773564,17791,24.3334270136586
"2007-08","2708","27","MAHARASHTRA","WARDHA",89980,87258,177238,177238,NA,177238,"grade_i_viii_sum",NA,1,0,49.2321059817872,152510,11511,3320,3071,634,171046,96.5063925343324,-6192,1001,328,1329,42,975,24.6802106847254,3.16027088036117,73.3634311512415,"maharashtra","wardha",TRUE,11511,3320,TRUE,TRUE,6.49465690201875,1.87318746544195,77.6144562065943,8758,20.2372687828271
"2007-08","2709","27","MAHARASHTRA","NAGPUR",212278,431507,643785,643785,NA,643785,"grade_i_viii_sum",NA,1,0,67.0265694292349,422904,99663,89226,31605,293,643691,99.9853988521012,-94,1865,1431,3296,67,2128,43.4162621359223,2.03276699029126,64.5631067961165,"maharashtra","nagpur",TRUE,99663,89226,TRUE,TRUE,15.4807893939747,13.859595983131,52.7627336689802,21489,29.9588161384895
"2007-08","2710","27","MAHARASHTRA","BHANDARA",99980,81086,181066,181066,NA,181066,"grade_i_viii_sum",NA,1,0,44.7825654733633,167170,9611,2675,741,0,180197,99.5200645068649,-869,813,378,1191,44,714,31.7380352644836,3.6943744752309,59.9496221662469,"maharashtra","bhandara",TRUE,9611,2675,TRUE,TRUE,5.30800923420189,1.47736184595672,78.2272505290575,6623,27.3389702551714
"2007-08","2733","27","MAHARASHTRA","SINDHUDURG",76736,41892,118628,118628,NA,118628,"grade_i_viii_sum",NA,1,0,35.3137539198166,112621,4321,1514,122,0,118578,99.9578514347372,-50,1455,243,1698,198,905,14.3109540636042,11.660777385159,53.2979976442874,"maharashtra","sindhudurg",FALSE,4321,NA,TRUE,FALSE,3.6424790100145,NA,NA,6264,18.9380587484036
"2007-08","2735","27","MAHARASHTRA","SANGLI",200643,189239,389882,389882,NA,389882,"grade_i_viii_sum",NA,1,0,48.5375062198306,354422,15712,10570,7651,206,388561,99.6611795363725,-1321,1693,793,2486,16,1501,31.8986323411102,0.643604183427192,60.3781174577635,"maharashtra","sangli",TRUE,10570,0,TRUE,TRUE,2.71107668474051,0,100,18013,21.644478987398
"2007-08","2801","28","ANDHRA PRADESH","ADILABAD",304972,135721,440693,440693,NA,440693,"grade_i_viii_sum",NA,1,0,30.7971762655636,356960,51632,26497,2401,2365,439855,99.8098449487512,-838,4214,751,4965,663,1774,15.1258811681772,13.3534743202417,35.730110775428,"andhra pradesh","adilabad",TRUE,51632,2365,TRUE,TRUE,11.7160926086868,0.536654768739236,95.620127044095,21419,20.5748634390028
