"target_unit_2001","academic_year","dise_source_district_count","dise_source_districts","dise_english_enrollment","dise_hindi_enrollment","report_total_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_management_enrollment","dise_government_enrollment","dise_private_enrollment","dise_government_schools","dise_private_schools","dise_total_schools","dise_total_teachers","dise_single_teacher_schools","dise_girls_toilet_schools","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_english_count_valid","dise_hindi_count_valid","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_private_enrollment_share","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","dise_pupils_per_teacher","state_code_2001","region","ling_distance_nonzero_mean","ling_share_distance_ge3","ling_distance_top3_legacy","ling_distance_nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_high","ling_share_distance_1","ling_share_distance_2","ling_share_distance_3","ling_share_distance_4","ling_share_distance_5","ling_mapped_share_distance_1","ling_mapped_share_distance_2","ling_mapped_share_distance_3","ling_mapped_share_distance_4","ling_mapped_share_distance_5","ling_distance_glottolog_nonhindi_mean","ling_distance_dyen_noncognate_pct","hindi_urdu_share","native_english_share","hindi_share","urdu_share","ling_unmapped_speaker_share","ling_mapped_speaker_share","ling_sensitivity_mapped_speaker_share","ling_glottolog_mapped_speaker_share","ling_dyen_mapped_speaker_share","census_age_6_13_population","census_age_6_13_population_2001","census_age_6_13_population_2011","census_age_6_13_annual_log_growth_2001_2011","census_age_6_13_population_method","dise_emi_gross_enrollment_ratio_age_6_13","dise_elementary_gross_enrollment_ratio_age_6_13"
"pc2001__09__03","2013-14",1,"BIJNOR",NA,680972,NA,707073,NA,699901,245760,454141,NA,NA,NA,NA,NA,NA,707073,"grade_i_viii_sum",NA,0.98985677575017,FALSE,TRUE,FALSE,TRUE,NA,96.3085848278749,NA,64.8864625139841,NA,NA,NA,NA,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,743193.740579863,735755,741700,0.000804766586540909,"log_linear_extrapolation_post_2011",NA,95.1397948330834
"pc2001__09__03","2015-16",1,"BIJNOR",2937,644380,NA,NA,665816,NA,NA,NA,NA,NA,5054,19930,288,5021,665816,"direct_enrtot",NA,NA,TRUE,TRUE,TRUE,TRUE,0.441112860009372,96.7804919076742,0.453718966132513,NA,NA,5.69845666798575,99.3470518401266,33.4077270446563,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,744390.898733788,735755,741700,0.000804766586540909,"log_linear_extrapolation_post_2011",0.394550766941918,89.4444036234935
"pc2001__09__03","2009-10",1,"BIJNOR",NA,695163,NA,791302,NA,791302,348717,442585,2549,2028,4577,16749,180,0,791302,"grade_i_viii_sum",NA,1,FALSE,TRUE,FALSE,TRUE,NA,87.8505298861876,NA,55.9312373783966,44.3084990168232,3.93270701332751,0,47.2447310287181,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,740805.197123396,735755,741700,0.000804766586540909,"log_linear_interpolation_2001_2011",NA,106.816475245137
"pc2001__09__03","2006-07",1,"BIJNOR",0,547702,NA,748958,NA,748958,323951,425007,2254,1878,4132,15518,101,3049,748958,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,73.1285332421845,0,56.7464397202513,45.4501452081317,2.44433688286544,73.7899322362052,48.263822657559,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,739018.828596312,735755,741700,0.000804766586540909,"log_linear_interpolation_2001_2011",0,101.344914502729
"pc2001__09__03","2005-06",1,"BIJNOR",0,58241,NA,629983,NA,629983,303118,326865,2213,1834,4047,13954,212,2537,629983,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,9.24485263888073,0,51.8847333975679,45.3175191499876,5.2384482332592,62.688411168767,45.1471262720367,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,738424.330184547,735755,741700,0.000804766586540909,"log_linear_interpolation_2001_2011",0,85.3144965906736
"pc2001__09__03","2014-15",1,"BIJNOR",773,656148,NA,NA,684796,NA,NA,NA,NA,NA,5099,18789,480,5055,684796,"direct_enrtot",NA,NA,TRUE,TRUE,TRUE,TRUE,0.112880332244931,95.8165643490908,0.117670161252266,NA,NA,9.41361051186507,99.137085703079,36.446644313162,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,743792.078798619,735755,741700,0.000804766586540909,"log_linear_extrapolation_post_2011",0.103926893285629,92.0682028647159
"pc2001__09__03","2007-08",1,"BIJNOR",0,512646,NA,731162,NA,731162,332613,398549,2376,1979,4355,16420,78,3614,731162,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,70.1138735328149,0,54.5089870644262,45.4420206659013,1.7910447761194,82.9850746268657,44.5287454323995,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,739613.805633099,735755,741700,0.000804766586540909,"log_linear_interpolation_2001_2011",0,98.8572677296276
"pc2001__09__03","2008-09",1,"BIJNOR",NA,735092,NA,799130,NA,799130,365303,433827,NA,NA,NA,NA,NA,NA,799130,"grade_i_viii_sum",NA,1,FALSE,TRUE,FALSE,TRUE,NA,91.986535357201,NA,54.2874125611603,NA,NA,NA,NA,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,740209.261680244,735755,741700,0.000804766586540909,"log_linear_interpolation_2001_2011",NA,107.960010955011
"pc2001__09__03","2012-13",1,"BIJNOR",NA,803759,NA,835653,NA,835606,238878,596728,2677,2657,5334,NA,350,99.96,835653,"grade_i_viii_sum",NA,0.999943756559242,FALSE,TRUE,FALSE,TRUE,NA,96.1833440435204,NA,71.412603547605,49.8125234345707,6.56167979002625,1.8740157480315,NA,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,742595.88369001,735755,741700,0.000804766586540909,"log_linear_extrapolation_post_2011",NA,112.531326708624
"pc2001__09__03","2011-12",1,"BIJNOR",NA,802453,NA,833088,NA,833088,368809,464279,2567,2471,5038,16838,199,84.49,833088,"grade_i_viii_sum",NA,1,FALSE,TRUE,FALSE,TRUE,NA,96.3227174080049,NA,55.7298868786971,49.0472409686383,3.94998015085351,1.67705438666137,49.4766599358594,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,741998.507741855,735755,741700,0.000804766586540909,"log_linear_extrapolation_post_2011",NA,112.276236583731
"pc2001__09__03","2010-11",1,"BIJNOR",NA,688078,803880,587331,NA,587251,335552,251699,2542,2043,4585,16960,202,4227,803880,"report_card_current_year_total",NA,0.999863790605298,FALSE,TRUE,FALSE,TRUE,NA,85.5946161118575,NA,42.8605485558986,44.5583424209378,4.40567066521265,92.1919302071974,47.3985849056604,"09","Central",1.18992297653471,0.110743668642681,0.0107323360024505,1.18986953184958,1.16808386015229,1.13595286177223,0.00121345427001784,0.103335210994151,0.000510928113691724,0.00689752953483827,1.13982159787781,0.00121758695413254,0.103687141672971,0.0005126681912137,0.00692102058138495,10.2306339121257,28.2116495927928,98.3883730643808,0.000415129092374526,68.8106487637456,29.5777243006352,0.339000803434459,99.6605840674732,99.9932940685078,95.7646266053591,90.76423022039,741401.61234851,735755,741700,0.000804766586540909,"log_linear_interpolation_2001_2011",NA,108.427063903136
"pc2001__09__04","2006-07",1,"MORADABAD",307,822871,NA,823673,NA,823673,479751,343922,2546,1407,3953,15919,252,3416,823673,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.0372720727764538,99.9026312626491,0.0372944855183205,41.754676916689,35.593220338983,6.37490513534025,86.4153807235011,51.741503863308,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__09__04","2007-08",1,"MORADABAD",4195,828656,NA,834260,NA,834260,467997,366263,2670,1736,4406,18766,237,3959,834260,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.502840840984825,99.3282669671325,0.50369153666142,43.9027401529499,39.400817067635,5.37902859736723,89.8547435315479,44.4559309389321,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__09__04","2009-10",1,"MORADABAD",5967,934730,NA,943068,NA,943068,394518,548550,2789,2026,4815,20939,340,0,943068,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.632722136685796,99.1158643915391,0.634316894813101,58.166537301658,42.0768431983385,7.06126687435099,0,45.0388270691055,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__09__04","2012-13",1,"MORADABAD",20019,530925,NA,620386,NA,581211,188340,392871,1766,1549,3315,NA,162,99.89,620386,"grade_i_viii_sum",NA,0.936853829712469,TRUE,TRUE,TRUE,TRUE,3.22686198592489,85.5797841988697,3.63358163443109,67.5952451003164,46.7269984917044,4.8868778280543,3.0132730015083,NA,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__09__04","2013-14",1,"MORADABAD",25348,574678,NA,643736,NA,603063,184294,418769,NA,NA,NA,NA,NA,NA,643736,"grade_i_viii_sum",NA,0.936817266705606,TRUE,TRUE,TRUE,TRUE,3.93763903214983,89.2723103881094,4.22448360571042,69.4403403956137,NA,NA,NA,NA,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__09__04","2010-11",1,"MORADABAD",5563,887256,894733,803880,NA,803880,365405,438475,2831,2029,4860,21305,372,4701,894733,"report_card_current_year_total",NA,1,TRUE,TRUE,TRUE,TRUE,0.621749728690011,99.1643317056597,0.623082618089445,54.5448325620739,41.7489711934156,7.65432098765432,96.7283950617284,41.9963858249237,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__09__04","2005-06",1,"MORADABAD",310,817935,NA,818406,NA,818406,497816,320590,2583,1332,3915,11696,316,3078,818406,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.0378785101771004,99.9424491022793,0.0378859632506156,39.1724889602471,34.0229885057471,8.07151979565773,78.6206896551724,69.9731532147743,"09","Central",1.71530503032465,0.065734022040447,0.00137816165722951,1.71530503032465,1.33415754150477,0.153405625887606,0.00152198534065706,0.0524035297464163,0.00181063773285064,0.0115198545611801,0.153879076736068,0.00152668259505508,0.0525652610745687,0.00181622584584138,0.0115554079177444,9.4292329802523,33.9905522699761,99.4644973302278,0.00443475038915591,73.1808339010164,26.2836634292114,0.303242458562637,99.6923227910482,99.9905794355639,92.8303192015021,87.4048819053266,NA,919161,NA,NA,"unavailable_without_two_district_anchors",NA,NA
