"target_unit_2001","census_2001_district_name","census_age_6_13_population_2001","census_age_6_13_population_2011","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","census_age_6_13_anchor_status","census_age_6_13_annual_log_growth_2001_2011"
"pc2001__10__05","Madhubani",818337,1025873,1,"Madhubani",TRUE,"two_census_anchors",0.0226025004190513
"pc2001__10__06","Supaul *",409324,531749,1,"Supaul",TRUE,"two_census_anchors",0.0261664555019505
"pc2001__10__08","Kishanganj",309024,402422,1,"Kishanganj",TRUE,"two_census_anchors",0.0264082345474755
"pc2001__10__09","Purnia",613469,763721,1,"Purnia",TRUE,"two_census_anchors",0.0219072806097864
"pc2001__10__11","Madhepura",360183,478582,1,"Madhepura",TRUE,"two_census_anchors",0.0284215329446199
"pc2001__10__12","Saharsa",356255,448404,1,"Saharsa",TRUE,"two_census_anchors",0.0230047845192729
"pc2001__10__14","Muzaffarpur",841049,1040691,1,"Muzaffarpur",TRUE,"two_census_anchors",0.021299027233392
"pc2001__10__15","Gopalganj",524119,590930,1,"Gopalganj",TRUE,"two_census_anchors",0.0119978809300167
"pc2001__10__16","Siwan",656027,746169,1,"Siwan",TRUE,"two_census_anchors",0.0128750169468372
"pc2001__10__17","Saran",785213,888460,1,"Saran",TRUE,"two_census_anchors",0.0123534608328529
"pc2001__10__19","Samastipur",787972,980542,1,"Samastipur",TRUE,"two_census_anchors",0.0218642923775471
"pc2001__10__20","Begusarai",554779,690740,1,"Begusarai",TRUE,"two_census_anchors",0.0219193650434717
"pc2001__10__21","Khagaria",303618,398821,1,"Khagaria",TRUE,"two_census_anchors",0.0272742362373694
"pc2001__10__23","Banka *",370148,450574,1,"Banka",TRUE,"two_census_anchors",0.0196619399830469
"pc2001__10__24","Munger",258123,286486,1,"Munger",TRUE,"two_census_anchors",0.0104253453840024
"pc2001__10__25","Lakhisarai *",188605,228661,1,"Lakhisarai",TRUE,"two_census_anchors",0.0192585676426985
"pc2001__10__26","Sheikhpura *",122834,147705,1,"Sheikhpura",TRUE,"two_census_anchors",0.0184383191012909
"pc2001__10__27","Nalanda",539644,641970,1,"Nalanda",TRUE,"two_census_anchors",0.0173631910734048
"pc2001__10__28","Patna",1024222,1185403,1,"Patna",TRUE,"two_census_anchors",0.0146149501164423
"pc2001__10__30","Buxar *",323267,371062,1,"Buxar",TRUE,"two_census_anchors",0.0137890557405041
