"target_unit_2001","census_2001_district_name","census_age_6_13_population_2001","census_age_6_13_population_2011","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","census_age_6_13_anchor_status","census_age_6_13_annual_log_growth_2001_2011"
"pc2001__24__06","Gandhinagar",228610,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__17__04","West Khasi Hills",74227,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__15","Medinipur",1868692,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__01","Thiruvallur",417184,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__17__07","Jaintia Hills",73152,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__17","Sidhi",440065,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__04","Vellore",582786,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__26","Ahmadnagar",752121,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__10","Uttara Kannada",221244,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__05","Barpeta",362834,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__06","Kamrup",479315,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__46","Barabanki",595691,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__47","Faizabad",463846,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__15","Shimoga",268302,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__49","Sultanpur",727700,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__13__06","Dimapur *",65397,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__51","Shrawasti *",260862,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__29","East Nimar",366375,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__18","Tumkur",431856,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__54","Siddharthnagar",485319,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__07","Bilaspur",418007,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__17","Jorhat",185464,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__18","Golaghat",196342,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__58","Gorakhpur",861301,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__59","Kushinagar *",682635,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__21","Cachar",291117,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__37","Hoshangabad",221117,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__30__02","South Goa",82660,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__40","Narsimhapur",184998,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__34","Aurangabad",460814,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__28","Thoothukkudi",244305,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__29","Tirunelveli",417925,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__10","Katihar",578269,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__10","Kendrapara *",239882,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__11","Jagatsinghapur  *",178373,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__19","Nellore",457921,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__13","Jajapur  *",302353,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__27","Rayagada  *",168989,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__11","North Twenty Four Parganas",1530775,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__03","East Kameng",13345,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__16","Nayagarh  *",148292,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__19","Aurangabad",596656,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__06","Upper Subansiri",13058,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__07","West Siang",24716,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__08","East Siang",19258,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__15","West Godavari",676129,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__18","South  Twenty Four Parganas",1422613,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__12","Junagadh",440547,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__13","Darbhanga",772074,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__16","Kheda",346761,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__07","Mahbubnagar",766997,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__22","Shajapur",268270,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__19","Vadodara",610488,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__18","Vaishali",635166,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__12","Coimbatore",537248,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__10","Nagaon",498155,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__27","West Nimar",333694,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__22","Bhagalpur",566973,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__01","Adilabad",540690,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__14__02","Tamenglong",22144,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__21","Bangalore Rural",321052,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__19","Nagapattinam  *",234096,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__06","Rangareddi",681906,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__03","Karimnagar",640126,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__29","Bhojpur",514419,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__20","North Cachar Hills",38600,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__26","Mysore",440605,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__04","Debagarh  *",51998,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__33","Jehanabad",341729,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__15__03","Aizawl",57133,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__06","Kendujhar",309168,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__16","Dantewada*",158878,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__21","Kandhamal",139579,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__17","Chikmagalur",180045,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__18","Prakasam",563674,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__34__02","Pondicherry",106427,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__08","Darrang",312931,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__07","Viluppuram",511232,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__02","West Kameng",15165,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__05","Sabar Kantha",377622,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__21","Thane",1359616,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__18","Jalna",347133,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__13","Satna",400017,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__04","Gulbarga",718315,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__03","Kancheepuram",442762,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__13","Visakhapatnam",692685,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__14","Davanagere*",322972,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__06","Janjgir - Champa*",277203,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__29","Koraput",236538,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__03","Jalgaon",685696,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__12","Lakhimpur",189466,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__29","Osmanabad",292846,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__02","Surguja",407981,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__04","Medak",550230,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__15","Anugul  *",215055,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__27","Chamarajanagar*",157725,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__08","Nalgonda",652448,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__01","Bargarh  *",229518,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__19","Karbi Anglong",185980,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__11","Srikakulam",482230,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__33__10","Erode",323124,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__05","Sundargarh",347777,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__03","Bijapur",379445,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__12","Bellary",431811,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__07","Nalbari",231464,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
