"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"region_main__nonzero_mean_sensitivity_low","region_main","nonzero_mean_sensitivity_low",0.00185228903449946,0.00688542627191124,0.788028207341918,2.4722723814778,23.1085112116065,0.9440759764936,1,0.0878999515913465,0.76698696683492,0.0878999515913406,0.766986966834928,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_sensitivity_high","region_main","nonzero_mean_sensitivity_high",0.0177818833429574,0.046861049533024,0.70450725242562,0.239840141221904,23.1085112116065,0.996366159159233,1,1.37183727526812,0.242053208321831,1.37183727526821,0.242053208321816,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_hindi_urdu_separate","region_main","nonzero_mean_hindi_urdu_separate",0.00166519764861211,0.00691211283556284,0.809723366173252,2.71587152069672,23.1085112116065,0.93502428670795,1,0.0694604267338363,0.792232385970082,0.0694604267338334,0.792232385970087,NA,NA,FALSE,2,TRUE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, -0.0297223] U [-0.0105466, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all","region_main","distance_shares_all",-0.00502850728517057,0.00224997737196113,0.0258612392362896,4.20624565837009,18.9252785537304,0.963802832181531,2.1757999607491,3.53659567646422,0.00375427213253479,3.53659567646393,0.00375427213253701,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all_unmapped","region_main","distance_shares_all_unmapped",-0.00523488002180879,0.00230881473193291,0.0237943517125298,4.52924995904512,18.9189682957795,0.953646283438897,2.17901382994203,4.29278945962733,0.000783533796508851,4.29278945962729,0.000783533796508911,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_mapped","region_main","distance_shares_mapped",-0.00350587564326966,0.00189090857517439,0.0643144000001995,4.42100636158135,19.8553068579011,0.93626884055409,1.77240734159551,5.49936341369047,6.11203520481375e-05,5.49936341369036,6.1120352048152e-05,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__glottolog_mean","region_main","glottolog_mean",-0.00304735274330107,0.0106320175552412,0.774521039323812,0.889648129515803,23.1085112116065,0.986779057555263,1,0.0751001568105541,0.784163249956364,0.0751001568105554,0.784163249956362,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__glottolog_mean_shastry","region_main","glottolog_mean_shastry",-0.00312213165565968,0.0104714988508489,0.765708335152515,0.910020630837399,23.1085112116065,0.986408535424053,1,0.0826531002427325,0.773852572667792,0.082653100242731,0.773852572667794,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__dyen_noncognate","region_main","dyen_noncognate",0.00929004056776596,0.018233990143182,0.610632062071017,0.565320311287687,23.1085112116065,0.992077836757748,1,1.295146984843,0.255643357923841,1.295146984843,0.255643357923842,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__dyen_noncognate_shastry","region_main","dyen_noncognate_shastry",0.00791025247525668,0.01449901575462,0.585603207469523,0.730350818612325,23.1085112116065,0.989520793431251,1,1.19524146331373,0.274800224013118,1.1952414633137,0.274800224013122,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
