"bin","instrument","treatment","n","specification_id","construct_id","analysis_scope","domain","margin","source_side","paper_role","label"
3,-1.04364503235338,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-0.324612048463307,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.066835031616477,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.283517235237635,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.659096808544839,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.22745998466401,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,1.5932884481532,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,1.72450350579827,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_low","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-2.23537577731635,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-1.79731111417448,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
