"construct_id","variable","label","domain","source","vintage","unit","level","denominator","universe","stage","role","preferred","causal_status","comparable_to","alternative_to","authority"
"motorcycle_share_households_change_2011_2001","motorcycle_share_households_change_2011_2001","Change in household motorcycle ownership","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"no_lighting_share_households_change_2011_2001","no_lighting_share_households_change_2011_2001","Change in households without lighting","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",FALSE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"telephone_share_households_change_2011_2001","telephone_share_households_change_2011_2001","Change in household telephone access","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"television_share_households_change_2011_2001","television_share_households_change_2011_2001","Change in household television ownership","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",FALSE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"dise_private_enrollment_share_0708","dise_private_enrollment_share_0708","DISE 2007-08 private enrollment share","institution_choice","DISE","2007-08","percent","district","","DISE elementary-school district aggregates","school_system_structure","institution_choice_context",FALSE,"administrative_schooling_construct","","","dise_construct_registry"
"nss66__employment_rate_age15plus","employment_rate_age15plus","Employment rate, age 15+","labor_market","NSS 66 employment","2009-10","share","district","age15plus","age-15-plus district labor outcomes on preferred reviewed geography","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","labor_mechanism_registry"
"nss66__labor_force_participation_age15plus","labor_force_participation_age15plus","Labor-force participation rate, age 15+","labor_market","NSS 66 employment","2009-10","share","district","age15plus","age-15-plus district labor outcomes on preferred reviewed geography","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","labor_mechanism_registry"
"plfs_2017_18__employment_rate_age15plus","employment_rate_age15plus","Employment rate, age 15+","labor_market","PLFS 2017-18","2017-18","share","district","age15plus","age-15-plus district labor outcomes on preferred reviewed geography","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","labor_mechanism_registry"
"plfs_2017_18__labor_force_participation_age15plus","labor_force_participation_age15plus","Labor-force participation rate, age 15+","labor_market","PLFS 2017-18","2017-18","share","district","age15plus","age-15-plus district labor outcomes on preferred reviewed geography","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","labor_mechanism_registry"
"census_1991_st__bilingual_share","bilingual_share","Bilingual share among Scheduled-Tribe mother-tongue speakers","language_behavior","Census 1991 ST-17","1991","share","district","scheduled_tribe_mother_tongue_speakers","validated Scheduled-Tribe mother-tongue cells","language_behavior","validation_outcome",FALSE,"predetermined_language_behavior_validation","","","census_1991_st_language_outcome_registry"
"census_1991_st__english_acquisition_share","english_acquisition_share","English acquisition among Scheduled-Tribe mother-tongue speakers","language_behavior","Census 1991 ST-17","1991","share","district","scheduled_tribe_mother_tongue_speakers","validated Scheduled-Tribe mother-tongue cells","language_behavior","validation_outcome",FALSE,"predetermined_language_behavior_validation","","","census_1991_st_language_outcome_registry"
"census_1991_st__english_minus_hindi_acquisition_share","english_minus_hindi_acquisition_share","English-minus-Hindi acquisition share among Scheduled-Tribe mother-tongue speakers","language_behavior","Census 1991 ST-17","1991","share","district","scheduled_tribe_mother_tongue_speakers","validated Scheduled-Tribe mother-tongue cells","language_behavior","validation_outcome",FALSE,"predetermined_language_behavior_validation","","","census_1991_st_language_outcome_registry"
"census_1991_st__hindi_acquisition_share","hindi_acquisition_share","Hindi acquisition among Scheduled-Tribe mother-tongue speakers","language_behavior","Census 1991 ST-17","1991","share","district","scheduled_tribe_mother_tongue_speakers","validated Scheduled-Tribe mother-tongue cells","language_behavior","validation_outcome",FALSE,"predetermined_language_behavior_validation","","","census_1991_st_language_outcome_registry"
"hindi_share","hindi_share","Hindi share","language_composition","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","language_adjustment",FALSE,"predetermined_language_composition","","","variable_dictionary"
"hindi_urdu_share","hindi_urdu_share","Hindi and Urdu share","language_composition","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","language_adjustment",TRUE,"predetermined_language_composition","","","variable_dictionary"
"native_english_share","native_english_share","Native English share","language_composition","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","language_adjustment",FALSE,"predetermined_language_composition","","","variable_dictionary"
"urdu_share","urdu_share","Urdu share","language_composition","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","language_adjustment",FALSE,"predetermined_language_composition","","","variable_dictionary"
"ling_dyen_mapped_speaker_share","ling_dyen_mapped_speaker_share","Dyen mapped nonreference share","linguistic_distance","Census 2001 C-16 + Dyen et al. (1997) + Shastry (2008)","2001","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"ling_dyen_unmapped_speaker_share","ling_dyen_unmapped_speaker_share","Dyen unresolved nonreference share","linguistic_distance","Census 2001 C-16 + Dyen et al. (1997) + Shastry (2008)","2001","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"ling_glottolog_mapped_speaker_share","ling_glottolog_mapped_speaker_share","Glottolog mapped nonreference share","linguistic_distance","Census 2001 C-16 + Glottolog 5.3","2001","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"ling_glottolog_unmapped_speaker_share","ling_glottolog_unmapped_speaker_share","Glottolog unresolved nonreference share","linguistic_distance","Census 2001 C-16 + Glottolog 5.3","2001","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"ling_sensitivity_mapped_speaker_share","ling_sensitivity_mapped_speaker_share","Mapped share under Shastry adjudication sensitivity","linguistic_distance","Census 2001 C-16 + frozen Shastry adjudication ledger","2001","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"ling_distance_dyen_noncognate_pct","ling_distance_dyen_noncognate_pct","Dyen/Shastry lexical distance","linguistic_distance","Census 2001 C-16 + Dyen et al. (1997) + Shastry (2008)","2001","percentage points","district","","","pre_treatment_language_structure","instrument",FALSE,"candidate_instrument_exclusion_sensitive","ling_distance_nonzero_mean","","variable_dictionary"
"ling_distance_glottolog_nonhindi_mean","ling_distance_glottolog_nonhindi_mean","Glottolog linguistic distance","linguistic_distance","Census 2001 C-16 + Glottolog 5.3","2001","edges","district","","","pre_treatment_language_structure","instrument",FALSE,"candidate_instrument_exclusion_sensitive","ling_distance_nonzero_mean","","variable_dictionary"
"ling_distance_nonzero_mean","ling_distance_nonzero_mean","Mean nonzero linguistic distance","linguistic_distance","Census 2001 C-16","2001","degrees","district","","","pre_treatment_language_structure","instrument",TRUE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_distance_nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","Shastry distance, upper adjudication sensitivity","linguistic_distance","Census 2001 C-16 + frozen Shastry adjudication ledger","2001","degree","district","","","pre_treatment_language_structure","instrument",FALSE,"candidate_instrument_exclusion_sensitive","ling_distance_nonzero_mean","","variable_dictionary"
"ling_distance_nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","Shastry distance, lower adjudication sensitivity","linguistic_distance","Census 2001 C-16 + frozen Shastry adjudication ledger","2001","degree","district","","","pre_treatment_language_structure","instrument",FALSE,"candidate_instrument_exclusion_sensitive","ling_distance_nonzero_mean","","variable_dictionary"
"ling_distance_top3_legacy","ling_distance_top3_legacy","Legacy top-three linguistic distance","linguistic_distance","Census 2001 C-16","2001","degrees","district","","","pre_treatment_language_structure","instrument",FALSE,"candidate_instrument_exclusion_sensitive","","ling_distance_nonzero_mean","variable_dictionary"
"ling_mapped_share_distance_0","ling_mapped_share_distance_0","Distance-0 share among mapped speakers","linguistic_distance","Census 2001 C-16","2001","percent","district","mapped C-16 speaker mass with finite preferred Shastry distance","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","ling_share_distance_0","","variable_dictionary"
"ling_mapped_share_distance_1","ling_mapped_share_distance_1","Distance-1 share among mapped speakers","linguistic_distance","Census 2001 C-16","2001","percent","district","mapped C-16 speaker mass with finite preferred Shastry distance","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","ling_share_distance_1","","variable_dictionary"
"ling_mapped_share_distance_2","ling_mapped_share_distance_2","Distance-2 share among mapped speakers","linguistic_distance","Census 2001 C-16","2001","percent","district","mapped C-16 speaker mass with finite preferred Shastry distance","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","ling_share_distance_2","","variable_dictionary"
"ling_mapped_share_distance_3","ling_mapped_share_distance_3","Distance-3 share among mapped speakers","linguistic_distance","Census 2001 C-16","2001","percent","district","mapped C-16 speaker mass with finite preferred Shastry distance","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","ling_share_distance_3","","variable_dictionary"
"ling_mapped_share_distance_4","ling_mapped_share_distance_4","Distance-4 share among mapped speakers","linguistic_distance","Census 2001 C-16","2001","percent","district","mapped C-16 speaker mass with finite preferred Shastry distance","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","ling_share_distance_4","","variable_dictionary"
"ling_mapped_share_distance_5","ling_mapped_share_distance_5","Distance-5 share among mapped speakers","linguistic_distance","Census 2001 C-16","2001","percent","district","mapped C-16 speaker mass with finite preferred Shastry distance","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","ling_share_distance_5","","variable_dictionary"
"ling_share_distance_0","ling_share_distance_0","Distance-zero language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_share_distance_1","ling_share_distance_1","Distance-one language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_share_distance_2","ling_share_distance_2","Distance-two language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_share_distance_3","ling_share_distance_3","Distance-three language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_share_distance_4","ling_share_distance_4","Distance-four language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_share_distance_5","ling_share_distance_5","Distance-five language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"ling_share_distance_ge3","ling_share_distance_ge3","Distant-language share","linguistic_distance","Census 2001 C-16","2001","percent","district","all C-16 speaker mass","mapped Census-2001 C-16 mother-tongue speaker mass","pre_treatment_language_structure","instrument_component",FALSE,"candidate_instrument_exclusion_sensitive","","","variable_dictionary"
"wavg_ling_degrees","wavg_ling_degrees","Linguistic distance","linguistic_distance","Census 2001","2001","degrees","district","","","pre_treatment_language_structure","instrument",FALSE,"candidate_instrument_exclusion_sensitive","","ling_distance_top3_legacy","variable_dictionary"
"hired_employment_share_change_2013_2005","hired_employment_share_change_2013_2005","Change in hired-worker employment share","local_economic_structure","Economic Census 2005/2013","2005_to_2013","share_change","district","nonfarm_employment","Economic Census nonfarm establishments/employment harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","economic_census_mechanism_registry"
"log_firms_total_change_2013_2005","log_firms_total_change_2013_2005","Log change in establishments","local_economic_structure","Economic Census 2005/2013","2005_to_2013","log_change","district","log_establishments","Economic Census nonfarm establishments/employment harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","economic_census_mechanism_registry"
"log_nonfarm_employment_change_2013_2005","log_nonfarm_employment_change_2013_2005","Log change in nonfarm employment","local_economic_structure","Economic Census 2005/2013","2005_to_2013","log_change","district","log_nonfarm_employment","Economic Census nonfarm establishments/employment harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","economic_census_mechanism_registry"
"manufacturing_employment_share_change_2013_2005","manufacturing_employment_share_change_2013_2005","Change in manufacturing employment share","local_economic_structure","Economic Census 2005/2013","2005_to_2013","share_change","district","nonfarm_employment","Economic Census nonfarm establishments/employment harmonized to Census-2001 districts","post_treatment_intermediate","outcome",FALSE,"post_treatment_descriptive_mechanism","","","economic_census_mechanism_registry"
"private_employment_share_change_2013_2005","private_employment_share_change_2013_2005","Change in private-sector employment share","local_economic_structure","Economic Census 2005/2013","2005_to_2013","share_change","district","nonfarm_employment","Economic Census nonfarm establishments/employment harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","economic_census_mechanism_registry"
"services_employment_share_change_2013_2005","services_employment_share_change_2013_2005","Change in services employment share","local_economic_structure","Economic Census 2005/2013","2005_to_2013","share_change","district","nonfarm_employment","Economic Census nonfarm establishments/employment harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","economic_census_mechanism_registry"
"education_share_among_migrants","education_share_among_migrants","Education share among migrants","migration","Census 2011 migration tables","2011","share","district","all_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"graduate_or_technical_degree_share_among_migrants","graduate_or_technical_degree_share_among_migrants","Graduate or technical-degree share among migrants","migration","Census 2011 migration tables","2011","share","district","all_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"graduate_or_technical_degree_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","Graduate or technical-degree share among recent work migrants","migration","Census 2011 migration tables","2011","share","district","recent_work_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"interstate_share_among_migrants","interstate_share_among_migrants","Interstate share among migrants","migration","Census 2011 migration tables","2011","share","district","all_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"outside_state_share_among_recent_work_migrants","outside_state_share_among_recent_work_migrants","Outside-state share among recent work migrants","migration","Census 2011 migration tables","2011","share","district","recent_work_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"technical_credential_share_among_migrants","technical_credential_share_among_migrants","Technical-credential share among migrants","migration","Census 2011 migration tables","2011","share","district","all_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",FALSE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"technical_credential_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants","Technical-credential share among recent work migrants","migration","Census 2011 migration tables","2011","share","district","recent_work_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",FALSE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"work_employment_share_among_migrants","work_employment_share_among_migrants","Work/employment share among migrants","migration","Census 2011 migration tables","2011","share","district","all_migrants","Census-2011 migration populations harmonized to Census-2001 districts","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_migration_mechanism_registry"
"price_deflator_0708_person_weighted","price_deflator_0708_person_weighted","Mean price deflator 2007-08","price","Project price system","2007-08","index","district","","","welfare_measurement","measurement_input",TRUE,"measurement_only","","","variable_dictionary"
